gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_48hrs_1,DMSO_48hrs_2,DMSO_48hrs_3,SDMAi_ADMAi_48hrs_1,SDMAi_ADMAi_48hrs_2,SDMAi_ADMAi_48hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
AAGAB_ENSG00000103591.13,PAS18031_ATTAAA_0.3,0.760570979,NA,AAGAB_ENSG00000103591.13,0.176452948,1,0.67443941,0.780207442,AAGAB_ENSG00000103591.13,0.130007504,0.130007504,0.130007504,0.138661251,0.138661251,0.138661251,0.008653747,chr15,67201030,67201031,57,-,ENSG00000103591.13,AAGAB,UTR3
AAGAB_ENSG00000103591.13,PAS18032_AATAAA_0.3,0.760570979,NA,AAGAB_ENSG00000103591.13,0.176452948,1,0.67443941,0.780207442,AAGAB_ENSG00000103591.13,0.869992496,0.869992496,0.869992496,0.861338749,0.861338749,0.861338749,-0.008653747,chr15,67201672,67201673,642,-,ENSG00000103591.13,AAGAB,UTR3
AARD_ENSG00000205002.4,PAS10343_APA_0.15,0.008053356,0,AARD_ENSG00000205002.4,8.954116208,1,0.002768451,0.010163648,AARD_ENSG00000205002.4,0.443280536,0.443280536,0.443280536,0.191465578,0.191465578,0.191465578,-0.251814959,chr8,116943256,116943257,51,+,ENSG00000205002.4,AARD,UTR3
AARD_ENSG00000205002.4,PAS10344_AATAAA_0.35,0.008053356,0,AARD_ENSG00000205002.4,8.954116208,1,0.002768451,0.010163648,AARD_ENSG00000205002.4,0.556719464,0.556719464,0.556719464,0.808534422,0.808534422,0.808534422,0.251814959,chr8,116943997,116943998,33,+,ENSG00000205002.4,AARD,UTR3
AARS2_ENSG00000124608.5,PAS8611_AATAAA_0.1,0.596864492,NA,AARS2_ENSG00000124608.5,1.408254292,1,0.235346407,0.377465689,AARS2_ENSG00000124608.5,0.574935662,0.574935662,0.574935662,0.622093758,0.622093758,0.622093758,0.047158096,chr6,44299560,44299561,90,-,ENSG00000124608.5,AARS2,UTR3
AARS2_ENSG00000124608.5,PAS8610_ATTAAA_0.2,0.596864492,NA,AARS2_ENSG00000124608.5,0.743472568,1,0.388550756,0.537729392,AARS2_ENSG00000124608.5,0.189081238,0.189081238,0.189081238,0.162364382,0.162364382,0.162364382,-0.026716857,chr6,44298968,44298969,57,-,ENSG00000124608.5,AARS2,UTR3
AARS2_ENSG00000124608.5,PAS8609_APA_0.1,0.596864492,NA,AARS2_ENSG00000124608.5,0.34150706,1,0.558960607,0.68844745,AARS2_ENSG00000124608.5,0.2359831,0.2359831,0.2359831,0.215541861,0.215541861,0.215541861,-0.020441239,chr6,44298731,44298732,153,-,ENSG00000124608.5,AARS2,UTR3
AASDHPPT_ENSG00000149313.11,PAS13709_AATAAA_0.4,0.260415957,NA,AASDHPPT_ENSG00000149313.11,1.916666942,1,0.166224561,0.289681395,AASDHPPT_ENSG00000149313.11,0.443465521,0.443465521,0.443465521,0.365215794,0.365215794,0.365215794,-0.078249727,chr11,106096987,106096988,91,+,ENSG00000149313.11,AASDHPPT,UTR3
AASDHPPT_ENSG00000149313.11,PAS13710_AATAAA_0.3,0.260415957,NA,AASDHPPT_ENSG00000149313.11,1.916666942,1,0.166224561,0.289681395,AASDHPPT_ENSG00000149313.11,0.556534479,0.556534479,0.556534479,0.634784206,0.634784206,0.634784206,0.078249727,chr11,106098692,106098693,113,+,ENSG00000149313.11,AASDHPPT,UTR3
AASS_ENSG00000008311.16,PAS9860_ATTAAA_0.25,0.087515164,NA,AASS_ENSG00000008311.16,5.188487609,1,0.022736995,0.060195934,AASS_ENSG00000008311.16,0.812156199,0.812156199,0.812156199,0.690841251,0.690841251,0.690841251,-0.121314948,chr7,122073551,122073552,48,-,ENSG00000008311.16,AASS,UTR3
AASS_ENSG00000008311.16,PAS9862_ATTAAA_0.1,0.087515164,NA,AASS_ENSG00000008311.16,4.737147548,1,0.029517974,0.074217353,AASS_ENSG00000008311.16,0.070157287,0.070157287,0.070157287,0.153623188,0.153623188,0.153623188,0.083465901,chr7,122076479,122076480,10,-,ENSG00000008311.16,AASS,UTR3
AASS_ENSG00000008311.16,PAS9861_APA_0.25,0.087515164,NA,AASS_ENSG00000008311.16,0.849719819,1,0.356631612,0.507610184,AASS_ENSG00000008311.16,0.117686514,0.117686514,0.117686514,0.155535561,0.155535561,0.155535561,0.037849047,chr7,122076245,122076246,32,-,ENSG00000008311.16,AASS,UTR3
ABCB10_ENSG00000135776.5,PAS2317_ATTAAA_0.1,0.796264872,NA,ABCB10_ENSG00000135776.5,0.127507877,1,0.721030081,0.814521658,ABCB10_ENSG00000135776.5,0.663270416,0.663270416,0.663270416,0.677440238,0.677440238,0.677440238,0.014169823,chr1,229516582,229516583,138,-,ENSG00000135776.5,ABCB10,UTR3
ABCB10_ENSG00000135776.5,PAS2318_AATAAA_0.3,0.796264872,NA,ABCB10_ENSG00000135776.5,0.127507877,1,0.721030081,0.814521658,ABCB10_ENSG00000135776.5,0.336729584,0.336729584,0.336729584,0.322559762,0.322559762,0.322559762,-0.014169823,chr1,229516843,229516844,33,-,ENSG00000135776.5,ABCB10,UTR3
ABCB7_ENSG00000131269.19,PAS24258_AATAAA_0.25,0.482364173,NA,ABCB7_ENSG00000131269.19,2.036476014,1,0.153565048,0.272733209,ABCB7_ENSG00000131269.19,0.104788069,0.104788069,0.104788069,0.067884149,0.067884149,0.067884149,-0.036903919,chrX,75051555,75051556,17,-,ENSG00000131269.19,ABCB7,UTR3
ABCB7_ENSG00000131269.19,PAS24259_ATTAAA_0.2,0.482364173,NA,ABCB7_ENSG00000131269.19,1.114043857,1,0.29120459,0.440845126,ABCB7_ENSG00000131269.19,0.85785538,0.85785538,0.85785538,0.892651821,0.892651821,0.892651821,0.034796441,chrX,75053280,75053281,160,-,ENSG00000131269.19,ABCB7,UTR3
