gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_96hrs_1,DMSO_96hrs_2,DMSO_96hrs_3,SDMAi_ADMAi_96hrs_1,SDMAi_ADMAi_96hrs_2,SDMAi_ADMAi_96hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
UBA52_ENSG00000221983.8,PAS21236_AATAAA_0.15,4.31E-258,4.90E-262,UBA52_ENSG00000221983.8,1196.77361,1,3.07E-262,3.52E-258,UBA52_ENSG00000221983.8,0.97368921,0.97368921,0.97368921,0.750750613,0.750750613,0.750750613,-0.222938598,chr19,18575238,18575239,6504,+,ENSG00000221983.8,UBA52,UTR3
UBA52_ENSG00000221983.8,PAS21238_AATAAA_0.1,4.31E-258,9.99E-254,UBA52_ENSG00000221983.8,1158.539224,1,6.25E-254,3.59E-250,UBA52_ENSG00000221983.8,0.026006749,0.026006749,0.026006749,0.243006354,0.243006354,0.243006354,0.216999605,chr19,18577458,18577459,551,+,ENSG00000221983.8,UBA52,UTR3
RPL15_ENSG00000174748.22,PAS4151_AATAAA_0.15,2.45E-235,0,RPL15_ENSG00000174748.22,1087.552818,1,1.68E-238,4.80E-235,RPL15_ENSG00000174748.22,0.907550109,0.907550109,0.907550109,0.66516888,0.66516888,0.66516888,-0.242381229,chr3,23919550,23919551,23210,+,ENSG00000174748.22,RPL15,UTR3
RPL15_ENSG00000174748.22,PAS4152_AATAAA_0.4,2.45E-235,0,RPL15_ENSG00000174748.22,1087.552818,1,1.68E-238,4.80E-235,RPL15_ENSG00000174748.22,0.092449891,0.092449891,0.092449891,0.33483112,0.33483112,0.33483112,0.242381229,chr3,23920838,23920839,3965,+,ENSG00000174748.22,RPL15,UTR3
KDELR2_ENSG00000136240.10,PAS9536_AATAAA_0.25,5.78E-203,4.54E-204,KDELR2_ENSG00000136240.10,931.4623207,1,1.42E-204,3.26E-201,KDELR2_ENSG00000136240.10,0.348941405,0.348941405,0.348941405,0.670991176,0.670991176,0.670991176,0.322049771,chr7,6461090,6461091,1223,-,ENSG00000136240.10,KDELR2,UTR3
RPL37_ENSG00000145592.14,PAS7274_AATAAA_0.25,1.39E-185,8.56E-181,RPL37_ENSG00000145592.14,825.206215,1,1.79E-181,3.41E-178,RPL37_ENSG00000145592.14,0.978860344,0.978860344,0.978860344,0.842976114,0.842976114,0.842976114,-0.13588423,chr5,40832456,40832457,30477,-,ENSG00000145592.14,RPL37,UTR3
NQO1_ENSG00000181019.13,PAS19019_AATAAA_0.15,6.47E-177,7.27E-181,NQO1_ENSG00000181019.13,823.339361,1,4.55E-181,7.45E-178,NQO1_ENSG00000181019.13,0.827426222,0.827426222,0.827426222,0.591317665,0.591317665,0.591317665,-0.236108557,chr16,69710841,69710842,6169,-,ENSG00000181019.13,NQO1,UTR3
RPL27A_ENSG00000166441.13,PAS13215_ATTAAA_0.1,2.10E-189,3.46E-174,RPL27A_ENSG00000166441.13,795.3966595,1,5.41E-175,7.75E-172,RPL27A_ENSG00000166441.13,0.99607462,0.99607462,0.99607462,0.976538931,0.976538931,0.976538931,-0.019535689,chr11,8685845,8685846,65571,+,ENSG00000166441.13,RPL27A,UTR3
HSPA4_ENSG00000170606.16,PAS6892_ATTAAA_0.35,1.11E-167,2.90E-170,HSPA4_ENSG00000170606.16,774.5790344,1,1.82E-170,2.31E-167,HSPA4_ENSG00000170606.16,0.819549384,0.819549384,0.819549384,0.34429047,0.34429047,0.34429047,-0.475258914,chr5,133104470,133104471,769,+,ENSG00000170606.16,HSPA4,UTR3
NQO1_ENSG00000181019.13,PAS19017_AATAAA_0.3,6.47E-177,9.71E-169,NQO1_ENSG00000181019.13,767.5678969,1,6.08E-169,6.97E-166,NQO1_ENSG00000181019.13,0.163653742,0.163653742,0.163653742,0.387940085,0.387940085,0.387940085,0.224286343,chr16,69709401,69709402,900,-,ENSG00000181019.13,NQO1,UTR3
HSPA4_ENSG00000170606.16,PAS6894_AATAAA_0.25,1.11E-167,2.37E-166,HSPA4_ENSG00000170606.16,756.5870169,1,1.48E-166,1.55E-163,HSPA4_ENSG00000170606.16,0.169345091,0.169345091,0.169345091,0.635658765,0.635658765,0.635658765,0.466313673,chr5,133106446,133106447,824,+,ENSG00000170606.16,HSPA4,UTR3
FLNB_ENSG00000136068.16,PAS4352_AATAAA_0.15,2.75E-159,1.73E-162,FLNB_ENSG00000136068.16,738.8177245,1,1.08E-162,1.04E-159,FLNB_ENSG00000136068.16,0.474342526,0.474342526,0.474342526,0.896782312,0.896782312,0.896782312,0.422439786,chr3,58172247,58172248,2422,+,ENSG00000136068.16,FLNB,UTR3
DDX5_ENSG00000108654.16,PAS20404_AATAAA_0.15,5.60E-158,1.14E-161,DDX5_ENSG00000108654.16,735.0544735,1,7.13E-162,6.29E-159,DDX5_ENSG00000108654.16,0.039035662,0.039035662,0.039035662,0.286940647,0.286940647,0.286940647,0.247904985,chr17,64498254,64498255,344,-,ENSG00000108654.16,DDX5,UTR3
FLNB_ENSG00000136068.16,PAS4350_None_0.15,2.75E-159,2.68E-160,FLNB_ENSG00000136068.16,728.7470598,1,1.68E-160,1.37E-157,FLNB_ENSG00000136068.16,0.51441677,0.51441677,0.51441677,0.098669693,0.098669693,0.098669693,-0.415747077,chr3,58170782,58170783,408,+,ENSG00000136068.16,FLNB,UTR3
DDX5_ENSG00000108654.16,PAS20405_AATAAA_0.4,5.60E-158,1.31E-151,DDX5_ENSG00000108654.16,688.7961337,1,8.17E-152,6.24E-149,DDX5_ENSG00000108654.16,0.954828234,0.954828234,0.954828234,0.710122668,0.710122668,0.710122668,-0.244705566,chr17,64499621,64499622,3945,-,ENSG00000108654.16,DDX5,UTR3
NUTF2_ENSG00000102898.13,PAS18550_AATAAA_0.3,5.66E-149,0,NUTF2_ENSG00000102898.13,687.5170442,1,1.55E-151,1.05E-148,NUTF2_ENSG00000102898.13,0.942099665,0.942099665,0.942099665,0.499345168,0.499345168,0.499345168,-0.442754497,chr16,67871314,67871315,737,+,ENSG00000102898.13,NUTF2,UTR3
NUTF2_ENSG00000102898.13,PAS18551_AATAAA_0.15,5.66E-149,0,NUTF2_ENSG00000102898.13,687.5170442,1,1.55E-151,1.05E-148,NUTF2_ENSG00000102898.13,0.057900335,0.057900335,0.057900335,0.500654832,0.500654832,0.500654832,0.442754497,chr16,67872563,67872564,281,+,ENSG00000102898.13,NUTF2,UTR3
EIF1_ENSG00000173812.11,PAS19470_AATAAA_0.2,8.31E-148,3.86E-142,EIF1_ENSG00000173812.11,645.2444343,1,2.42E-142,1.54E-139,EIF1_ENSG00000173812.11,0.736934101,0.736934101,0.736934101,0.502283473,0.502283473,0.502283473,-0.234650628,chr17,41690997,41690998,3811,+,ENSG00000173812.11,EIF1,UTR3
EEF1A1_ENSG00000156508.19,PAS8652_ATTAAA_0.05,1.25E-137,1.54E-140,EEF1A1_ENSG00000156508.19,639.2747699,1,4.80E-141,2.90E-138,EEF1A1_ENSG00000156508.19,0.859847333,0.859847333,0.859847333,0.504331769,0.504331769,0.504331769,-0.355515563,chr6,73517514,73517515,252,-,ENSG00000156508.19,EEF1A1,UTR3
RER1_ENSG00000157916.20,PAS30_AATAAA_0.25,1.61E-139,4.15E-130,RER1_ENSG00000157916.20,589.9306786,1,2.59E-130,1.49E-127,RER1_ENSG00000157916.20,0.05965203,0.05965203,0.05965203,0.589025488,0.589025488,0.589025488,0.529373457,chr1,2405434,2405435,133,+,ENSG00000157916.20,RER1,UTR3
KPNB1_ENSG00000108424.11,PAS19559_AATAAA_0.45,7.93E-175,6.45E-129,KPNB1_ENSG00000108424.11,587.2172689,1,1.01E-129,5.51E-127,KPNB1_ENSG00000108424.11,0.57224142,0.57224142,0.57224142,0.201747902,0.201747902,0.201747902,-0.370493518,chr17,47683547,47683548,34,+,ENSG00000108424.11,KPNB1,UTR3
RPL28_ENSG00000108107.15,PAS21659_AATAAA_0.1,2.12E-126,1.99E-126,RPL28_ENSG00000108107.15,574.3958112,1,6.21E-127,3.24E-124,RPL28_ENSG00000108107.15,0.986997992,0.986997992,0.986997992,0.917014874,0.917014874,0.917014874,-0.069983118,chr19,55388371,55388372,28538,+,ENSG00000108107.15,RPL28,UTR3
EIF1_ENSG00000173812.11,PAS19471_AATAAA_0.35,8.31E-148,3.24E-125,EIF1_ENSG00000173812.11,567.4340796,1,2.03E-125,1.01E-122,EIF1_ENSG00000173812.11,0.261230766,0.261230766,0.261230766,0.480364289,0.480364289,0.480364289,0.219133524,chr17,41691640,41691641,2366,+,ENSG00000173812.11,EIF1,UTR3
