gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO1,DMSO2,DMSO3,treatment_1,treatment_2,treatment_3,mean_diff,V1,start,V3,V5,strand,V7,V8,V9,mean_usage,pA_type,cell_line
AARD_ENSG00000205002.4,PAS23151_AATAAA_0.35,0.5817959414644078,NA,AARD_ENSG00000205002.4,0.7643523832975916,1,0.381969878233963,0.6237650745691495,AARD_ENSG00000205002.4,0.8410429029037786,0.8410429029037786,0.8410429029037786,0.8853421674318557,0.8853421674318557,0.8853421674318557,0.04429926452807709,chr8,116943997,116943998,99,+,ENSG00000205002.4,AARD,UTR3,0.8631925351678171,distal pA,SUM149PT
AASDHPPT_ENSG00000149313.11,PAS30348_AATAAA_0.3,0.4170395473779639,NA,AASDHPPT_ENSG00000149313.11,1.4590524505360918,1,0.2270809459560646,0.46547134358032594,AASDHPPT_ENSG00000149313.11,0.4527693706801823,0.4527693706801823,0.4527693706801823,0.3976908430202627,0.3976908430202627,0.3976908430202627,-0.05507852765991966,chr11,106098692,106098693,317,+,ENSG00000149313.11,AASDHPPT,UTR3,0.4252301068502225,distal pA,SUM149PT
ABCB8_ENSG00000197150.13,PAS20972_None_0.25,0.03802851490094552,1,ABCB8_ENSG00000197150.13,0.6274940025177784,1,0.42827602290233274,0.6631518242115755,ABCB8_ENSG00000197150.13,0.34509931730938787,0.34509931730938787,0.34509931730938787,0.2790730215044277,0.2790730215044277,0.2790730215044277,-0.06602629580496017,chr7,151045561,151045562,10,+,ENSG00000197150.13,ABCB8,UTR3,0.3120861694069078,distal pA,SUM149PT
ABCC1_ENSG00000103222.20,PAS40259_APA_0.2,0.44664813535802106,NA,ABCC1_ENSG00000103222.20,1.3067740259194809,1,0.25297956718112197,0.4936819044407854,ABCC1_ENSG00000103222.20,0.8123976431583093,0.8123976431583093,0.8123976431583093,0.9007855785002312,0.9007855785002312,0.9007855785002312,0.08838793534192202,chr16,16143051,16143052,198,+,ENSG00000103222.20,ABCC1,UTR3,0.8565916108292703,distal pA,SUM149PT
ABCC3_ENSG00000108846.16,PAS43018_AATAAA_0.3,2.8407501954275702e-11,5.009381050801618e-10,ABCC3_ENSG00000108846.16,41.4098611745776,1,1.234331540973007e-10,8.752349790801533e-9,ABCC3_ENSG00000108846.16,0.8551530286975682,0.8551530286975682,0.8551530286975682,0.9720368768543658,0.9720368768543658,0.9720368768543658,0.11688384815679775,chr17,50691700,50691701,709,+,ENSG00000108846.16,ABCC3,UTR3,0.913594952775967,distal pA,SUM149PT
ABCD1_ENSG00000101986.12,PAS52498_APA_0.1,0.8755378449868385,NA,ABCD1_ENSG00000101986.12,0.09331523606897464,1,0.7600040830780062,0.8871587431259502,ABCD1_ENSG00000101986.12,0.9147242498468808,0.9147242498468808,0.9147242498468808,0.9262298986534542,0.9262298986534542,0.9262298986534542,0.011505648806573232,chrX,153744753,153744754,117,+,ENSG00000101986.12,ABCD1,UTR3,0.9204770742501676,distal pA,SUM149PT
ABCD3_ENSG00000117528.14,PAS1175_AATAAA_0.15,0.8362882184835045,NA,ABCD3_ENSG00000117528.14,0.14598883920643857,1,0.7023984224044767,0.8521659119500844,ABCD3_ENSG00000117528.14,0.9471447264019596,0.9471447264019596,0.9471447264019596,0.9539608618296224,0.9539608618296224,0.9539608618296224,0.006816135427663239,chr1,94518661,94518662,377,+,ENSG00000117528.14,ABCD3,UTR3,0.950552794115791,distal pA,SUM149PT
ABCE1_ENSG00000164163.11,PAS13120_AATAAA_0.3,0.0013504986378103565,0.3994176613885059,ABCE1_ENSG00000164163.11,2.7309924314681666,1,0.09841811043594204,0.27661807127482463,ABCE1_ENSG00000164163.11,0.11387992794224412,0.11387992794224412,0.11387992794224412,0.17975168475268022,0.17975168475268022,0.17975168475268022,0.06587175681043611,chr4,145129520,145129521,102,+,ENSG00000164163.11,ABCE1,UTR3,0.14681580634746216,distal pA,SUM149PT
ABCF1_ENSG00000204574.14,PAS17393_ATTAAA_0.3,0.29791096356917923,NA,ABCF1_ENSG00000204574.14,2.1911955286877856,1,0.1388015433765094,0.34507312050939754,ABCF1_ENSG00000204574.14,0.0285813809096932,0.0285813809096932,0.0285813809096932,0.011188470233652992,0.011188470233652992,0.011188470233652992,-0.017392910676040207,chr6,30592257,30592258,28,+,ENSG00000204574.14,ABCF1,UTR3,0.019884925571673095,distal pA,SUM149PT
ABCF3_ENSG00000161204.12,PAS10449_None_0.1,0.6725115156127066,NA,ABCF3_ENSG00000161204.12,0.4896341926025798,1,0.4840905281239683,0.7072708981448392,ABCF3_ENSG00000161204.12,0.05582991376729629,0.05582991376729629,0.05582991376729629,0.03906236049034706,0.03906236049034706,0.03906236049034706,-0.016767553276949232,chr3,184194450,184194451,23,+,ENSG00000161204.12,ABCF3,UTR3,0.047446137128821675,distal pA,SUM149PT
