unique_featureID,gene_ID,chr,start,end,strand,mean_diffsiELAVL1,mean_diffsiSam68,mean_diffsiCFIM25,mean_diff96,mean_diff72,mean_diff48,mean_diff24,mean_diff96hrs_prev,ctrl_siELAVL1,ctrl_siSam68,ctrl_siCFIM25,ctrl_96,ctrl_72,ctrl_48,ctrl_24,ctrl_96hrs_prev,condition_siELAVL1,condition_siSam68,condition_siCFIM25,condition_96,condition_72,condition_48,condition_24,condition_96hrs_prev,V5_siELAVL1,V5_siSam68,V5_siCFIM25,V5_96,V5_72,V5_48,V5_24,V5_96hrs_prev,twostep_gene_padj_siELAVL1,twostep_gene_padj_siSam68,twostep_gene_padj_siCFIM25,twostep_gene_padj_96,twostep_gene_padj_72,twostep_gene_padj_48,twostep_gene_padj_24,twostep_gene_padj_96hrs_prev,twostep_transcript_padj_siELAVL1,twostep_transcript_padj_siSam68,twostep_transcript_padj_siCFIM25,twostep_transcript_padj_96,twostep_transcript_padj_72,twostep_transcript_padj_48,twostep_transcript_padj_24,twostep_transcript_padj_96hrs_prev,lr_siELAVL1,lr_siSam68,lr_siCFIM25,lr_96,lr_72,lr_48,lr_24,lr_96hrs_prev,df_siELAVL1,df_siSam68,df_siCFIM25,df_96,df_72,df_48,df_24,df_96hrs_prev,pvalue_siELAVL1,pvalue_siSam68,pvalue_siCFIM25,pvalue_96,pvalue_72,pvalue_48,pvalue_24,pvalue_96hrs_prev,adj_pvalue_siELAVL1,adj_pvalue_siSam68,adj_pvalue_siCFIM25,adj_pvalue_96,adj_pvalue_72,adj_pvalue_48,adj_pvalue_24,adj_pvalue_96hrs_prev,mean_diff_across
ABI2_AATAAA_chr2_start_203427596_end_203427597,ABI2_ENSG00000138443.17,chr2,203427596,203427597,+,0.109253691,-7.51e-4,0.436760712,-0.402028959,-0.425134501,-0.379245755,-0.226914006,-0.474222707,0.44227618,0.442637542,0.441989097,0.51933315,0.525256894,0.528571339,0.511367895,0.516956868,0.551529871,0.441886092,0.878749809,0.117304191,0.100122392,0.149325584,0.284453889,0.042734161,105,105,105,89,89,89,89,73,0.050890612,0.994122083,5.9e-43,6.88e-16,1.46e-29,3.5099999999999994e-23,1.35e-8,2.49e-7,NA,NA,0,0,0,0,0,0,7.364193694,2.95e-4,196.3066682,69.7885908,134.2730412,105.4599737,37.85050035,31.1335169,1,1,1,1,1,1,1,1,0.006653543,0.986301193,1.34e-44,6.6e-17,4.76e-31,9.68e-25,7.64e-10,2.41e-8,0.059119649,0.998615496,9.459999999999998e-43,1.04e-15,2.3500000000000002e-29,5.59e-23,2.01e-8,3.6e-7,-0.38150918559999997
ACOX1_AATAAA_chr17_start_75941512_end_75941513,ACOX1_ENSG00000161533.12,chr17,75941512,75941513,-,-0.124748007,0.036487198,-0.261020888,0.245208676,0.204499412,0.257330524,0.258677941,0.378215135,0.540060161,0.540842095,0.542515494,0.427884769,0.466689364,0.416980749,0.388886859,0.410782278,0.415312154,0.577329293,0.281494606,0.673093445,0.671188776,0.674311272,0.647564799,0.788997413,35,35,35,60,60,60,60,82,0.051307543,0.267872879,1.53e-4,3.07e-5,2.71e-5,3.62e-9,1.29e-5,6.69e-5,NA,NA,2.36e-5,1.39e-5,6.76e-6,1.91e-10,6.97e-7,8.75e-6,3.276298215,0.331107646,18.67093279,21.10902288,22.79527167,43.45338367,28.10034948,22.66743161,1,1,1,1,1,1,1,1,0.070287296,0.565007593,1.55e-5,4.34e-6,1.8e-6,4.34e-11,1.15e-7,1.93e-6,0.271705523,0.797278944,5.3e-5,1.95e-5,1.1e-5,7.31e-10,1.96e-6,1.95e-5,0.26878633760000004
ACP6_ATTAAA_chr1_start_147629660_end_147629661,ACP6_ENSG00000162836.12,chr1,147629660,147629661,-,-0.009030582,-0.012655507,-0.021912759,0.406509001,0.344997382,0.303799463,0.192456079,0.607198095,0.071041037,0.072647673,0.069751502,0.095373448,0.130766922,0.11785771,0.074382006,0.104930942,0.062010455,0.059992166,0.047838743,0.501882449,0.475764304,0.421657173,0.266838084,0.712129037,38,38,38,77,77,77,77,64,0.880588261,0.838113141,0.403918206,1.51e-7,3.44e-8,2.18e-5,5.99e-4,4.74e-7,NA,NA,NA,0,0,0,0,0,0.09435137,0.180345366,0.936642717,30.44544161,33.93300332,21.30791832,15.23667144,29.80031892,1,1,1,1,1,1,1,1,0.758716505,0.671076606,0.333142747,3.43e-8,5.7e-9,3.91e-6,9.48e-5,4.79e-8,0.892806809,0.856384803,0.417866725,2.14e-7,4.91e-8,3.02e-5,8.03e-4,6.74e-7,0.370992004
ACVR2B_AATAAA_chr3_start_38493139_end_38493140,ACVR2B_ENSG00000114739.14,chr3,38493139,38493140,+,-0.159243233,-0.062455244,-0.219734046,0.152475719,0.195911142,0.094409136,0.221457506,0.139840603,0.308836148,0.309082968,0.308188595,0.412667871,0.378538397,0.46122147,0.425878502,0.349270167,0.149592915,0.246627724,0.088454549,0.56514359,0.574449539,0.555630607,0.647336008,0.48911077,30,30,30,64,64,64,64,59,0.010127562,0.457607724,6.58e-9,0.003418863,0.006544861,0.241245378,0.002485571,0.214245163,0,NA,0,0.008637457,0.001144895,NA,0.001274534,NA,11.447951,1.532995397,36.59792157,7.738832012,11.74445783,2.285656929,12.43440226,2.28460172,1,1,1,1,1,1,1,1,7.16e-4,0.215663445,1.45e-9,0.005404575,6.1e-4,0.130574845,4.21e-4,0.13066368,0.012374652,0.49360069,8.68e-9,0.012514975,0.002201728,0.240722719,0.002890194,0.241047469,0.16081882120000002
ADAT2_None_chr6_start_143426990_end_143426991,ADAT2_ENSG00000189007.16,chr6,143426990,143426991,-,-0.20661088,-0.022773174,-0.112300622,-0.21126701,-0.188699864,-0.177448945,-0.083002573,-0.22060553,0.550894269,0.551161125,0.55075511,0.296522139,0.322033607,0.327319284,0.284862937,0.331158285,0.344283389,0.528387951,0.438454488,0.085255128,0.133333743,0.149870338,0.201860364,0.110552755,15,15,15,24,24,24,24,30,0.337802716,0.946348253,0.424360439,0.002134596,0.003728484,1.78e-4,0.141791141,0.433879133,NA,NA,NA,0.017413267,0.004280752,0.072463144,NA,NA,2.469397932,0.021582488,0.861173205,6.482246582,9.307876657,4.548932224,1.187164759,2.800826482,1,1,1,1,1,1,1,1,0.116082382,0.883203221,0.353410587,0.010895718,0.002281708,0.032939282,0.275902205,0.09421573,0.366578268,0.953632742,0.43779638,0.023240282,0.007114903,0.080993196,0.465702805,0.188783908,-0.1762047844
ADK_AATAAA_chr10_start_74708537_end_74708538,ADK_ENSG00000156110.15,chr10,74708537,74708538,+,-0.00138821,-0.098303246,0.171258195,-0.089163745,-0.157304812,-0.032703982,-0.076690805,-0.202075635,0.786895579,0.786518233,0.785509404,0.647412259,0.741061464,0.684816955,0.695602374,0.656868884,0.785507368,0.688214987,0.956767599,0.558248514,0.583756652,0.652112973,0.618911569,0.454793249,155,155,155,178,178,178,178,215,0.991391716,0.220574908,2.03e-6,1.79e-8,1.52e-6,0.492890853,0.026445339000000002,1.3e-10,NA,NA,1.23e-7,0.005294606,4.96e-5,NA,0.108078517,1.21e-5,-5.95e-4,4.931474557,28.7831406,9.895922882,18.97979531,0.738907633,5.608735743,22.04550833,1,1,1,1,1,1,1,1,1,0.026371805,8.1e-8,0.001656454,1.32e-5,0.390011027,0.017871152,2.66e-6,1,0.143739636,3.87e-7,0.004383449,6.93e-5,0.539408782,0.06376355,2.6e-5,-0.1115877958
ADO_AATAAA_chr10_start_62807335_end_62807336,ADO_ENSG00000181915.5,chr10,62807335,62807336,+,-0.034176993,0.175839536,0.151336032,-0.39017188,-0.221740811,-0.302473322,-0.177044765,-0.297347633,0.432571294,0.433607573,0.433167782,0.601942968,0.597530569,0.678323256,0.641914809,0.591408849,0.398394301,0.609447109,0.584503813,0.211771088,0.375789758,0.375849934,0.464870044,0.294061216,12,12,12,31,31,31,31,39,0.804233658,0.030184281,0.026422192,3.26e-9,0.004560091,1.24e-7,0.028731397,0.001852607,NA,0,0,0,0,0,0,0,0.222252308,8.343930157,5.77771082,38.33050411,9.766008006,31.97474501,6.949761136,12.19545033,1,1,1,1,1,1,1,1,0.637329106,0.00386978,0.016230667,5.97e-10,0.00177768,1.56e-8,0.008383043,4.79e-4,0.831111604,0.037397479,0.029591978,4.71e-9,0.005701253,1.81e-7,0.035258641,0.002521798,-0.27775568219999996
AEBP2_AATAAA_chr12_start_19520222_end_19520223,AEBP2_ENSG00000139154.16,chr12,19520222,19520223,+,0.022757558,0.012518133,0.047406898,-0.2020106,-0.187821856,-0.087436584,-7.08e-4,-0.100669677,0.909502162,0.906907853,0.908803803,0.767172854,0.770886271,0.779339465,0.767429155,0.77777827,0.93225972,0.919425986,0.956210701,0.565162254,0.583064415,0.691902881,0.766721369,0.677108593,116,116,116,257,257,257,257,289,0.69239027,0.876417807,0.159695526,3.96e-9,9.72e-5,0.04595466,0.976126829,0.169397771,NA,NA,NA,1.6e-10,1.16e-5,0.00943074,NA,NA,0.569182948,0.111892107,2.457476613,43.96951203,22.54096701,10.16803532,-0.003503495,3.917032236,1,1,1,1,1,1,1,1,0.450583774,0.738000197,0.116966554,3.34e-11,2.06e-6,0.001428965,1,0.047799191,0.719114373,0.890378111,0.171199065,2.99e-10,1.25e-5,0.005763574,1,0.111581947,-0.1157293434
AGAP1_AATAAA_chr2_start_236131791_end_236131792,AGAP1_ENSG00000157985.20,chr2,236131791,236131792,+,-0.115572168,0.159365877,-0.298895158,-0.041257769,0.326073749,-0.18032884,-0.088675448,0.345985578,0.525159049,0.525080028,0.524966938,0.461820438,0.405615417,0.405451794,0.345764565,0.491091274,0.409586881,0.684445906,0.22607178,0.420562669,0.731689166,0.225122954,0.257089117,0.837076852,44,44,44,32,32,32,32,53,0.354612361,0.158389114,5.24e-5,0.706711611,0.002994301,0.159963434,0.395000971,0.032548535,NA,NA,0,NA,0,NA,NA,0.041621898,2.340665921,4.227456631,18.27227885,0.207040961,10.61161147,2.853864739,1.353368708,5.565197343,1,1,1,1,1,1,1,1,0.126035665,0.039775001,1.91e-5,0.64909662,0.001123797,0.09115457,0.244690057,0.018320945,0.384547789,0.183836246,6.45e-5,0.727975582,0.003787065,0.181838705,0.431756598,0.052452385,0.07235945400000002
AGBL5_AATAAA_chr2_start_27059532_end_27059533,AGBL5_ENSG00000084693.16,chr2,27059532,27059533,+,0.007941925,-0.031239628,0.069926711,-0.035198536,-0.071418232,-0.202946723,-0.044147116,-0.190294814,0.774393599,0.774146569,0.774333479,0.752721061,0.771526787,0.82397884,0.808366847,0.792274066,0.782335524,0.742906941,0.84426019,0.717522525,0.700108556,0.621032117,0.764219731,0.601979252,405,405,405,538,538,538,538,398,0.954459116,0.824433201,0.22512047,0.57501719,0.194553219,3.68e-6,0.465965953,0.042511313,NA,NA,NA,NA,NA,0,NA,0,0.01829531,0.213713438,1.865532301,0.439007514,2.291317298,24.97309563,1.038297371,5.578675297,1,1,1,1,1,1,1,1,0.892406186,0.643872289,0.171987649,0.507601876,0.130099463,5.81e-7,0.308217789,0.018180469,0.959419333,0.842978548,0.23944152,0.601908017,0.216644461,5.2e-6,0.50268830900000006,0.052154829,-0.10880108420000001
