"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift"
"AASDHPPT","PAS30467_AATAAA_0.4",0.0341017070603917,0,6.09680335599228,1,0.0135426644556731,0.0477500895537909,0.448358553231947,0.295700209483839,-0.152658343748108,"chr11",106096987,106096988,"+",0.372029381357893,2,"TUTR",NA
"AASDHPPT","PAS30468_AATAAA_0.3",0.0341017070603917,0,6.09680335599364,1,0.0135426644556626,0.0477500895537909,0.551641446768053,0.704299790516161,0.152658343748108,"chr11",106098692,106098693,"+",0.627970618642107,2,"TUTR",NA
"ABCB9","PAS35158_AATAAA_0.2",0.0131295290371973,0.00602588066370526,10.3817025160376,1,0.00127270282891792,0.0070710462849521,0.603862756428322,0.771191246656685,0.167328490228363,"chr12",122928999,122929000,"-",0.687527001542504,2,"iAPA",0.297544908704586
"ABCB9","PAS35163_None_0.25",0.0131295290371973,0.00816574456954803,9.82169299065868,1,0.00172465516558946,0.00905006232197007,0.226770332997926,0.0965539145217031,-0.130216418476223,"chr12",122957699,122957700,"-",0.161662123759815,2,"iAPA",0.297544908704586
"ABHD10","PAS9981_AATAAA_0.2",0.0123292647668541,0,8.31918767401976,1,0.00392284593000323,0.0177666680400475,0.778188208887607,0.90806235183987,0.129874142952263,"chr3",111993366,111993367,"+",0.843125280363739,2,"TUTR",NA
"ABHD10","PAS9979_ATTAAA_0.35",0.0123292647668541,0,8.31918767401976,1,0.00392284593000323,0.0177666680400475,0.221811791112393,0.0919376481601302,-0.129874142952263,"chr3",111991968,111991969,"+",0.156874719636261,2,"TUTR",NA
"ABI2","PAS6851_AATAAA_0.4",6.39899189275159e-08,1.52485465518642e-09,38.1829824671038,1,6.44117247470052e-10,1.82426357417032e-08,0.462711742683593,0.0544199255607317,-0.408291817122862,"chr2",203427596,203427597,"+",0.258565834122162,2,"TUTR",NA
"ABI2","PAS6853_AATAAA_0.2",6.39899189275159e-08,0.000118556011293737,16.4450980622065,1,5.00795084999193e-05,0.000445330683112185,0.377745254501078,0.687675163342736,0.309929908841658,"chr2",203432167,203432168,"+",0.532710208921907,2,"TUTR",NA
"ABRAXAS1","PAS14028_ATTAAA_0.35",1.27514060833954e-05,1.51649564341073e-06,24.7860733892812,1,6.40586298708333e-07,9.38467438497416e-06,0.695010776133474,0.951100522259451,0.256089746125977,"chr4",83490421,83490422,"-",0.823055649196463,2,"iAPA",-0.440448676084529
"ABRAXAS1","PAS14025_ATTAAA_0.4",1.27514060833954e-05,2.15155774390055e-05,19.6940388728508,1,9.08844293494102e-06,9.83788260104218e-05,0.211076998702574,0.0267180687440215,-0.184358929958553,"chr4",83461085,83461086,"-",0.118897533723298,2,"iAPA",-0.440448676084529
"ACAP2","PAS12316_AATAAA_0.15",0.0251327498496387,0.0374945406122787,7.05168413884712,1,0.00791907615987912,0.0313053345326005,0.71458793549286,0.845539327662863,0.130951392170004,"chr3",195274745,195274746,"-",0.780063631577861,2,"TUTR",NA
"ACAP2","PAS12318_APA_0.2",0.0251327498496387,0.00765994352098377,9.93934972823399,1,0.00161782689246173,0.00857930644479548,0.147164441644456,0.0386758309599587,-0.108488610684498,"chr3",195278792,195278793,"-",0.0929201363022076,2,"TUTR",NA
"ACBD6","PAS4520_AATAAA_0.3",9.03912132916219e-06,1.49381638599852e-06,24.8151178332535,1,6.31006303126897e-07,9.25252150152383e-06,0.785301440165759,0.566428358823402,-0.218873081342357,"chr1",180288230,180288231,"-",0.67586489949458,2,"ALE",NA
"ACBD6","PAS4518_ATTAAA_0.45",9.03912132916219e-06,0.000275710389298687,14.8491030819023,1,0.000116463438957896,0.00091991656177822,0.195464893717106,0.35739214995763,0.161927256240524,"chr1",180269664,180269665,"-",0.276428521837368,2,"ALE",NA
"ACOX1","PAS44898_AATAAA_0.45",7.59373242512213e-05,7.28957754670801e-07,28.8805977608664,1,7.69801667430235e-08,1.42262788595487e-06,0.368716178794858,0.716506543935011,0.347790365140153,"chr17",75941512,75941513,"-",0.542611361364934,2,"TUTR",NA
"ACOX1","PAS44901_APA_0.25",7.59373242512213e-05,0.0226006562282258,9.22548213335415,1,0.00238669837010826,0.0118692706887315,0.270149133229593,0.112543137921422,-0.157605995308171,"chr17",75945577,75945578,"-",0.191346135575507,2,"TUTR",NA
"ACP1","PAS5154_AATAAA_0.15",2.6708604193836e-09,0,40.8402209055484,1,1.65197842930267e-10,5.14571058771163e-09,0.463494738115288,0.733397499641497,0.269902761526209,"chr2",278279,278280,"+",0.598446118878393,2,"TUTR",NA
"ACP1","PAS5153_AATAAA_0.25",2.6708604193836e-09,0,40.8402209055425,1,1.65197842930766e-10,5.14571058771163e-09,0.536505261884712,0.266602500358503,-0.269902761526209,"chr2",277506,277507,"+",0.401553881121607,2,"TUTR",NA
"ACP6","PAS4019_ATTAAA_0.35",1.02981682844038e-07,0,33.1347123674386,1,8.59897988455765e-09,1.95098940041953e-07,0.0909468489848857,0.669265784123481,0.578318935138595,"chr1",147629660,147629661,"-",0.380106316554183,2,"ALE",NA
"ACP6","PAS4021_AATAAA_0",1.02981682844038e-07,0,33.1347123674386,1,8.59897988455765e-09,1.95098940041953e-07,0.909053151015114,0.330734215876519,-0.578318935138595,"chr1",147647367,147647368,"-",0.619893683445817,2,"ALE",NA
"ACSL3","PAS7023_APA_0.15",5.98216256899108e-05,0.00018496045942608,16.9162956004898,1,3.90647795877166e-05,0.000358563515194691,0.177206239958787,0.0400423468645998,-0.137163893094187,"chr2",222941820,222941821,"+",0.108624293411693,2,"TUTR",NA
"ACSL3","PAS7027_AATAAA_0.35",5.98216256899108e-05,0.0190991647349896,8.2685097565427,1,0.00403386033424103,0.0181650013417769,0.21630099080578,0.351754324536506,0.135453333730726,"chr2",222944621,222944622,"+",0.284027657671143,2,"TUTR",NA
"ACTR8","PAS11355_APA_0.3",0.0130538746775156,0,8.18464717239362,1,0.0042246394490268,0.0187938505881934,0.920109578664351,0.731685350613943,-0.188424228050408,"chr3",53868654,53868655,"-",0.825897464639147,2,"TUTR",NA
"ACTR8","PAS11354_APA_0.35",0.0130538746775156,0,8.18464717239362,1,0.0042246394490268,0.0187938505881934,0.0798904213356495,0.268314649386057,0.188424228050408,"chr3",53867068,53867069,"-",0.174102535360853,2,"TUTR",NA
"ADAMTSL1","PAS24852_AATAAA_0.15",0.00705043810558096,0,9.5114880691745,1,0.00204189511807984,0.0104398594290697,0.442754149584972,0.173550403853869,-0.269203745731103,"chr9",18910293,18910294,"+",0.30815227671942,2,"ALE",NA
"ADAMTSL1","PAS24853_APA_0.2",0.00705043810558096,0,9.51148806917468,1,0.00204189511807965,0.0104398594290697,0.557245850415028,0.826449596146131,0.269203745731103,"chr9",18910946,18910947,"+",0.69184772328058,2,"ALE",NA
"ADARB1","PAS50348_AATAAA_0.15",3.0034431374348e-39,6.27372260421594e-15,66.6078628864298,1,3.3126214041726e-16,2.3616706045265e-14,0.734025445662204,0.389278575972,-0.344746869690204,"chr21",45226558,45226559,"+",0.561652010817102,2,"iAPA",-0.529981157140805
"ADARB1","PAS50337_ATTAAA_0",3.0034431374348e-39,1.92214724448104e-15,68.9402474124076,1,1.01492311753797e-16,7.59584993849685e-15,0.0161372153005841,0.201371502751185,0.185234287450601,"chr21",45147339,45147340,"+",0.108754359025885,2,"iAPA",-0.529981157140805
"ADCY7","PAS40570_APA_0.1",0.00233756138707844,0,11.8582059986361,1,0.000574078201301781,0.00361586193813211,0.0736855900207654,0.292858504890603,0.219172914869837,"chr16",50316177,50316178,"+",0.183272047455684,2,"TUTR",NA
"ADCY7","PAS40571_ATTAAA_0.35",0.00233756138707844,0,11.8582059986354,1,0.000574078201301991,0.00361586193813211,0.926314409979235,0.707141495109397,-0.219172914869837,"chr16",50318131,50318132,"+",0.816727952544316,2,"TUTR",NA
"ADH5","PAS14089_AATAAA_0.2",3.15123313290517e-05,1.71500125200413e-06,24.5490047672447,1,7.24437494479461e-07,1.04311237818261e-05,0.888331282826131,0.747054824930223,-0.141276457895908,"chr4",99072158,99072159,"-",0.817693053878177,2,"ALE",NA
"ADH5","PAS14087_AATAAA_0.15",3.15123313290517e-05,5.95920152615874e-05,17.7514621171276,1,2.51723957499374e-05,0.000245780062399035,0.0842123704335251,0.191317905524614,0.107105535091089,"chr4",99070980,99070981,"-",0.13776513797907,2,"ALE",NA
"ADO","PAS27252_AATAAA_0.25",0.000206135544359346,0,17.022620082614,1,3.69371495713946e-05,0.000340926592584189,0.404785564565805,0.753757478937086,0.348971914371282,"chr10",62808470,62808471,"+",0.579271521751445,2,"TUTR",NA
"ADO","PAS27251_AATAAA_0.15",0.000206135544359346,0,17.022620082614,1,3.69371495713946e-05,0.000340926592584189,0.595214435434195,0.246242521062914,-0.348971914371281,"chr10",62807335,62807336,"+",0.420728478248555,2,"TUTR",NA
"AFAP1-AS1","PAS12574_AATAAA_0.15",5.39782017208097e-13,9.458815988222e-12,48.126683730889,1,3.99551950603083e-12,1.60014267868644e-10,0.629362046800824,0.945921735868795,0.316559689067971,"chr4",7778924,7778925,"+",0.78764189133481,2,"TUTR",NA
"AFAP1-AS1","PAS12573_AATAAA_0.3",5.39782017208097e-13,7.62956353748329e-15,62.1253124665127,1,3.22282090850213e-15,1.99645909463016e-13,0.31884741377117,0.00817548289119948,-0.31067193087997,"chr4",7774652,7774653,"+",0.163511448331185,2,"TUTR",NA
"AGBL5","PAS5344_AATAAA_0.35",0.0419356103420815,0,5.67984241728578,1,0.0171609090189999,0.0579504767607713,0.213764232352053,0.433464307468782,0.219700075116729,"chr2",27070612,27070613,"+",0.323614269910418,2,"ALE",NA
"AGBL5","PAS5343_AATAAA_0.15",0.0419356103420815,0,5.67984241728578,1,0.0171609090189999,0.0579504767607713,0.786235767647947,0.566535692531218,-0.219700075116729,"chr2",27059532,27059533,"+",0.676385730089582,2,"ALE",NA
"AGTPBP1","PAS26143_AATAAA_0.25",0.000416896765046208,0,15.5207469179038,1,8.16046787683681e-05,0.00067117920777166,0.425594829431523,0.0927278638172757,-0.332866965614248,"chr9",85546942,85546943,"-",0.2591613466244,2,"TUTR",NA
"AGTPBP1","PAS26142_AATAAA_0.15",0.000416896765046208,0,15.5207469179038,1,8.16046787683681e-05,0.00067117920777166,0.574405170568477,0.907272136182724,0.332866965614248,"chr9",85546539,85546540,"-",0.7408386533756,2,"TUTR",NA
"AGTRAP","PAS203_ATTAAA_0.2",2.24588352117462e-07,0,31.5246103852833,1,1.96928480481384e-08,4.18125425823118e-07,0.984495033256206,0.763117869025677,-0.221377164230529,"chr1",11750767,11750768,"+",0.873806451140942,2,"ALE",NA
"AGTRAP","PAS204_AATAAA_0.2",2.24588352117462e-07,0,31.5246103852833,1,1.96928480481384e-08,4.18125425823118e-07,0.0155049667437935,0.236882130974323,0.221377164230529,"chr1",11754791,11754792,"+",0.126193548859058,2,"ALE",NA
"AHSA2P","PAS5700_ATTAAA_0.25",5.34547043200621e-07,9.50995814415221e-08,31.4862637788523,1,2.00856128895047e-08,4.25917996400522e-07,0.862681112199101,0.445342517745841,-0.41733859445326,"chr2",61186805,61186806,"+",0.654011814972471,2,"MIXED",NA
"AHSA2P","PAS5704_AATAAA_0.3",5.34547043200621e-07,5.95381492624071e-07,27.9305562421334,1,1.257482104669e-07,2.20325784017216e-06,0.0435126017633674,0.351653218055306,0.308140616291938,"chr2",61191201,61191202,"+",0.197582909909336,2,"MIXED",NA
"AIF1L","PAS25648_AATAAA_0.2",0.0018888222346626,0,12.3116965961634,1,0.000450128638786359,0.00292999908914852,0.68681673600835,0.944158373460784,0.257341637452434,"chr9",131123142,131123143,"+",0.815487554734567,2,"TUTR",NA
"AIF1L","PAS25647_APA_0.3",0.0018888222346626,0,12.3116965961639,1,0.000450128638786249,0.00292999908914852,0.31318326399165,0.0558416265392162,-0.257341637452433,"chr9",131121220,131121221,"+",0.184512445265433,2,"TUTR",NA
"AIFM2","PAS28661_AATAAA_0.35",1.82909800290971e-10,0,46.4255800449764,1,9.51650043354878e-12,3.61015865070864e-10,0.322991321665607,0.722242421798663,0.399251100133057,"chr10",70112273,70112274,"-",0.522616871732135,2,"TUTR",NA
"AIFM2","PAS28662_ATTAAA_0.2",1.82909800290971e-10,0,46.4255800449764,1,9.51650043354878e-12,3.61015865070864e-10,0.677008678334393,0.277757578201337,-0.399251100133057,"chr10",70113986,70113987,"-",0.477383128267865,2,"TUTR",NA
"AK1","PAS26549_APA_0.1",0.00553947140104856,0,10.0195473326025,1,0.00154887530351312,0.00830687338524872,0.850929920020471,0.720523491760249,-0.130406428260222,"chr9",127867839,127867840,"-",0.78572670589036,2,"TUTR",NA
"AK1","PAS26547_AATAAA_0.4",0.00553947140104856,0,10.0195473326025,1,0.00154887530351312,0.00830687338524872,0.149070079979529,0.279476508239751,0.130406428260222,"chr9",127866491,127866492,"-",0.21427329410964,2,"TUTR",NA
"AK2","PAS3106_ATTAAA_0.1",8.9462340639832e-07,2.9199004842038e-07,29.3102042127989,1,6.16700829936441e-08,1.16308229499986e-06,0.777525764575957,0.519891755357003,-0.257634009218954,"chr1",33013044,33013045,"-",0.64870875996648,2,"MIXED",NA
