"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"ADAMTSL1","PAS24852_AATAAA_0.15",4.52241540370937e-14,1.49908808673268e-06,26.6294076190566,1,2.46463648674642e-07,5.4383618215749e-06,0.376491032803134,0.117294834209045,-0.259196198594089,"chr9",18910293,18910294,"+",0.24689293350609,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"AIG1","PAS18369_AATAAA_0.2",2.59242565672194e-12,0.0040885176298874,12.29052970774,1,0.000455262504381962,0.00390764674950859,0.646772265625428,0.783731720238073,0.136959454612645,"chr6",143340301,143340302,"+",0.71525199293175,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"ANKRD42","PAS30350_ATTAAA_0.25",0.00917837953731341,0,9.44582662238076,1,0.00211630096804086,0.0139677161041152,0.067844108980133,0.44797088339896,0.380126774418827,"chr11",83256097,83256098,"+",0.257907496189546,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"APOBEC3F","PAS51019_AATAAA_0.35",0.00884411816971061,0.00597819652428523,9.58125563431531,1,0.00196573922627956,0.0130984405869915,0.467532467532458,0.238636262931131,-0.228896204601327,"chr22",39053648,39053649,"+",0.353084365231795,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"ARAF","PAS51930_None_0.05",0.000242130957625385,0,17.213179300245,1,3.34110446142719e-05,0.000421770373278506,0.952696958595356,0.84864494125751,-0.104052017337846,"chrX",47571905,47571906,"+",0.900670949926432,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"ATF7IP2","PAS40242_AATAAA_0.15",0.00621549305774347,0,10.2959664657607,1,0.00133321308368703,0.00958027259602396,0.380433012088409,0.772222054467186,0.391789042378777,"chr16",10483636,10483637,"+",0.576327533277797,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"ATP11A","PAS35766_AATAAA_0.2",1.0634624221055e-23,9.80995608780466e-16,66.6602834276855,1,3.22569112800841e-16,3.10127161307094e-14,0.738094736963134,0.180555749086383,-0.557538987876751,"chr13",112887165,112887166,"+",0.459325243024759,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"BAIAP2","PAS43519_AATAAA_0.15",3.50249425788962e-23,8.42687930955623e-21,91.071896247352,1,1.38545522438298e-21,2.312958427311e-19,0.815749285973845,0.492778115526212,-0.322971170447632,"chr17",81116223,81116224,"+",0.654263700750028,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"BICD1","PAS32454_AATAAA_0.2",1.02394200232996e-22,5.96846226776293e-17,76.0231216477696,1,2.803626323627e-18,3.37060043900139e-16,0.297156443926439,0.0444444393971944,-0.252712004529245,"chr12",32383631,32383632,"+",0.170800441661817,2,"ALE",NA,TRUE,"distal pA","ADMAi"
"BMP2K","PAS12979_AATAAA_0.25",0.00675936077508564,0,10.112071036486,1,0.00147301342285475,0.0103941078226081,0.846890912781035,0.622239059932679,-0.224651852848356,"chr4",78916362,78916363,"+",0.734564986356857,2,"ALE",NA,TRUE,"distal pA","ADMAi"
