gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,CFIM25_DMSO_1,CFIM25_DMSO_2,CFIM25_DMSO_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
HNRNPU_ENSG00000153187.21,PAS2007_AATAAA_0.45,0,0,HNRNPU_ENSG00000153187.21,1539.354729,1,0,0,HNRNPU_ENSG00000153187.21,0.137777781,0.137777781,0.137777781,0.587898039,0.587898039,0.587898039,0.450120258,chr1,244854414,244854415,1104,-,ENSG00000153187.21,HNRNPU,UTR3
SCD_ENSG00000099194.6,PAS10167_AATAAA_0.15,2.66E-187,1.02E-191,SCD_ENSG00000099194.6,873.1557837,1,6.72E-192,2.86E-188,SCD_ENSG00000099194.6,0.700769866,0.700769866,0.700769866,0.399998789,0.399998789,0.399998789,-0.300771077,chr10,100364824,100364825,5736,+,ENSG00000099194.6,SCD,UTR3
HNRNPU_ENSG00000153187.21,PAS2005_ATTAAA_0.3,0,6.07E-189,HNRNPU_ENSG00000153187.21,863.6112331,1,7.99E-190,2.26E-186,HNRNPU_ENSG00000153187.21,0.554812818,0.554812818,0.554812818,0.207370204,0.207370204,0.207370204,-0.347442614,chr1,244853660,244853661,407,-,ENSG00000153187.21,HNRNPU,UTR3
SCD_ENSG00000099194.6,PAS10166_AATAAA_0.2,2.66E-187,2.61E-176,SCD_ENSG00000099194.6,802.2867463,1,1.72E-176,3.65E-173,SCD_ENSG00000099194.6,0.289385568,0.289385568,0.289385568,0.576823158,0.576823158,0.576823158,0.28743759,chr10,100363618,100363619,1296,+,ENSG00000099194.6,SCD,UTR3
UBE2D3_ENSG00000109332.20,PAS5209_AATAAA_0.1,4.76E-134,7.85E-129,UBE2D3_ENSG00000109332.20,586.1527894,1,1.72E-129,2.92E-126,UBE2D3_ENSG00000109332.20,0.117471771,0.117471771,0.117471771,0.668091822,0.668091822,0.668091822,0.550620051,chr4,102797355,102797356,504,-,ENSG00000109332.20,UBE2D3,UTR3
ACLY_ENSG00000131473.17,PAS16637_AATAAA_0.15,3.76E-124,0,ACLY_ENSG00000131473.17,575.1224942,1,4.32E-127,5.24E-124,ACLY_ENSG00000131473.17,0.911863681,0.911863681,0.911863681,0.319450273,0.319450273,0.319450273,-0.592413408,chr17,41866918,41866919,411,-,ENSG00000131473.17,ACLY,UTR3
ACLY_ENSG00000131473.17,PAS16638_AATAAA_0.1,3.76E-124,0,ACLY_ENSG00000131473.17,575.1224942,1,4.32E-127,5.24E-124,ACLY_ENSG00000131473.17,0.088136319,0.088136319,0.088136319,0.680549727,0.680549727,0.680549727,0.592413408,chr17,41867573,41867574,58,-,ENSG00000131473.17,ACLY,UTR3
H3-3B_ENSG00000132475.10,PAS16880_APA_0.2,6.48E-121,2.96E-123,H3-3B_ENSG00000132475.10,560.5156139,1,6.49E-124,6.90E-121,H3-3B_ENSG00000132475.10,0.042591581,0.042591581,0.042591581,0.315996548,0.315996548,0.315996548,0.273404967,chr17,75778550,75778551,364,-,ENSG00000132475.10,H3-3B,UTR3
OGFRL1_ENSG00000119900.9,PAS6661_AATAAA_0.3,7.69E-119,1.29E-119,OGFRL1_ENSG00000119900.9,543.7830602,1,2.83E-120,2.68E-117,OGFRL1_ENSG00000119900.9,0.373130388,0.373130388,0.373130388,0.86470573,0.86470573,0.86470573,0.491575342,chr6,71302267,71302268,209,+,ENSG00000119900.9,OGFRL1,UTR3
SFXN1_ENSG00000164466.13,PAS5832_AATAAA_0.2,1.40E-115,6.55E-117,SFXN1_ENSG00000164466.13,529.156576,1,4.31E-117,3.66E-114,SFXN1_ENSG00000164466.13,0.056133506,0.056133506,0.056133506,0.748078271,0.748078271,0.748078271,0.691944765,chr5,175526887,175526888,11,+,ENSG00000164466.13,SFXN1,UTR3
