gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,ELAVL1_DMSO_1,ELAVL1_DMSO_2,ELAVL1_DMSO_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
SQSTM1_ENSG00000161011.20,PAS5875_ATTAAA_0.35,4.18E-55,3.02E-50,SQSTM1_ENSG00000161011.20,229.0059259,1,9.82E-52,8.15E-48,SQSTM1_ENSG00000161011.20,0.737050859,0.737050859,0.737050859,0.491676918,0.491676918,0.491676918,-0.245373941,chr5,179837251,179837252,4170,+,ENSG00000161011.20,SQSTM1,UTR3
SQSTM1_ENSG00000161011.20,PAS5876_AATAAA_0.3,4.18E-55,4.84E-44,SQSTM1_ENSG00000161011.20,200.5622951,1,1.57E-45,6.53E-42,SQSTM1_ENSG00000161011.20,0.095037775,0.095037775,0.095037775,0.277435449,0.277435449,0.277435449,0.182397674,chr5,179838074,179838075,1990,+,ENSG00000161011.20,SQSTM1,UTR3
ANKRD10_ENSG00000088448.14,PAS13518_AATAAA_0.05,4.96E-40,1.98E-43,ANKRD10_ENSG00000088448.14,194.9975312,1,2.58E-44,7.14E-41,ANKRD10_ENSG00000088448.14,0.324550165,0.324550165,0.324550165,0.043596676,0.043596676,0.043596676,-0.280953488,chr13,110878540,110878541,234,-,ENSG00000088448.14,ANKRD10,UTR3
IPO7_ENSG00000205339.10,PAS10874_ATTAAA_0.2,2.98E-27,1.42E-27,IPO7_ENSG00000205339.10,123.8185959,1,9.23E-29,1.92E-25,IPO7_ENSG00000205339.10,0.34199265,0.34199265,0.34199265,0.638308987,0.638308987,0.638308987,0.296316337,chr11,9446223,9446224,211,+,ENSG00000205339.10,IPO7,UTR3
CUL4A_ENSG00000139842.15,PAS13349_APA_0.35,3.81E-21,1.13E-23,CUL4A_ENSG00000139842.15,104.6337652,1,1.47E-24,2.44E-21,CUL4A_ENSG00000139842.15,0.115852094,0.115852094,0.115852094,0.485957114,0.485957114,0.485957114,0.37010502,chr13,113230213,113230214,49,+,ENSG00000139842.15,CUL4A,UTR3
CD44_ENSG00000026508.21,PAS10976_APA_0,1.91E-20,1.57E-22,CD44_ENSG00000026508.21,100.793983,1,1.02E-23,1.41E-20,CD44_ENSG00000026508.21,0.575100634,0.575100634,0.575100634,0.740468928,0.740468928,0.740468928,0.165368294,chr11,35229467,35229468,2107,+,ENSG00000026508.21,CD44,UTR3
ATL3_ENSG00000184743.13,PAS11603_AATAAA_0.1,2.35E-20,0,ATL3_ENSG00000184743.13,97.71330108,1,4.84E-23,5.02E-20,ATL3_ENSG00000184743.13,0.746628881,0.746628881,0.746628881,0.380669556,0.380669556,0.380669556,-0.365959325,chr11,63624087,63624088,309,-,ENSG00000184743.13,ATL3,UTR3
ATL3_ENSG00000184743.13,PAS11604_ATTAAA_0.15,2.35E-20,0,ATL3_ENSG00000184743.13,97.71330108,1,4.84E-23,5.02E-20,ATL3_ENSG00000184743.13,0.253371119,0.253371119,0.253371119,0.619330444,0.619330444,0.619330444,0.365959325,chr11,63629123,63629124,76,-,ENSG00000184743.13,ATL3,UTR3
AHNAK_ENSG00000124942.14,PAS11575_AATAAA_0.1,3.48E-20,0,AHNAK_ENSG00000124942.14,96.43480491,1,9.22E-23,7.65E-20,AHNAK_ENSG00000124942.14,0.211476518,0.211476518,0.211476518,0.059666341,0.059666341,0.059666341,-0.151810177,chr11,62433543,62433544,253,-,ENSG00000124942.14,AHNAK,UTR3
AHNAK_ENSG00000124942.14,PAS11576_AATAAA_0.1,3.48E-20,0,AHNAK_ENSG00000124942.14,96.43480491,1,9.22E-23,7.65E-20,AHNAK_ENSG00000124942.14,0.788523482,0.788523482,0.788523482,0.940333659,0.940333659,0.940333659,0.151810177,chr11,62515902,62515903,579,-,ENSG00000124942.14,AHNAK,UTR3
