gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,ctrl_SDMAi_ADMAi_1,ctrl_SDMAi_ADMAi_2,ctrl_SDMAi_ADMAi_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
NSD2_ENSG00000109685.19,PAS4654_AATAAA_0.2,2.53E-65,1.94E-66,NSD2_ENSG00000109685.19,300.9063434,1,2.09E-67,1.76E-63,NSD2_ENSG00000109685.19,0.005903089,0.005903089,0.005903089,0.508991676,0.508991676,0.508991676,0.503088587,chr4,1919478,1919479,24,+,ENSG00000109685.19,NSD2,UTR3
OBSCN_ENSG00000154358.23,PAS942_APA_0.25,2.07E-47,1.28E-51,OBSCN_ENSG00000154358.23,232.9107836,1,1.38E-52,5.82E-49,OBSCN_ENSG00000154358.23,0.01877988,0.01877988,0.01877988,0.757811847,0.757811847,0.757811847,0.739031967,chr1,228218029,228218030,24,+,ENSG00000154358.23,OBSCN,UTR3
FLNB_ENSG00000136068.16,PAS3602_None_0.15,7.19E-37,1.78E-40,FLNB_ENSG00000136068.16,180.4645063,1,3.84E-41,1.08E-37,FLNB_ENSG00000136068.16,0.541580798,0.541580798,0.541580798,0.269559388,0.269559388,0.269559388,-0.27202141,chr3,58170781,58170782,454,+,ENSG00000136068.16,FLNB,UTR3
FLNB_ENSG00000136068.16,PAS3604_AATAAA_0.15,7.19E-37,2.05E-39,FLNB_ENSG00000136068.16,175.5971098,1,4.43E-40,9.33E-37,FLNB_ENSG00000136068.16,0.451301184,0.451301184,0.451301184,0.72041292,0.72041292,0.72041292,0.269111736,chr3,58172247,58172248,1305,+,ENSG00000136068.16,FLNB,UTR3
SCD_ENSG00000099194.6,PAS10167_AATAAA_0.15,8.19E-35,4.16E-38,SCD_ENSG00000099194.6,169.6140564,1,8.98E-39,1.51E-35,SCD_ENSG00000099194.6,0.700674575,0.700674575,0.700674575,0.822778263,0.822778263,0.822778263,0.122103688,chr10,100364824,100364825,5736,+,ENSG00000099194.6,SCD,UTR3
SCD_ENSG00000099194.6,PAS10166_AATAAA_0.2,8.19E-35,1.56E-37,SCD_ENSG00000099194.6,166.9909054,1,3.36E-38,4.71E-35,SCD_ENSG00000099194.6,0.289420559,0.289420559,0.289420559,0.169781566,0.169781566,0.169781566,-0.119638994,chr10,100363618,100363619,1296,+,ENSG00000099194.6,SCD,UTR3
SPARC_ENSG00000113140.11,PAS6242_AATAAA_0.2,4.62E-32,0,SPARC_ENSG00000113140.11,151.8881402,1,6.70E-35,7.05E-32,SPARC_ENSG00000113140.11,0.08707109,0.08707109,0.08707109,0.346740605,0.346740605,0.346740605,0.259669515,chr5,151661449,151661450,100,-,ENSG00000113140.11,SPARC,UTR3
SPARC_ENSG00000113140.11,PAS6243_AATAAA_0.2,4.62E-32,0,SPARC_ENSG00000113140.11,151.8881402,1,6.70E-35,7.05E-32,SPARC_ENSG00000113140.11,0.91292891,0.91292891,0.91292891,0.653259395,0.653259395,0.653259395,-0.259669515,chr5,151662442,151662443,478,-,ENSG00000113140.11,SPARC,UTR3
CDCP1_ENSG00000163814.8,PAS4116_AATAAA_0.3,5.36E-31,1.91E-32,CDCP1_ENSG00000163814.8,145.8916423,1,1.37E-33,1.28E-30,CDCP1_ENSG00000163814.8,0.056946374,0.056946374,0.056946374,0.292044788,0.292044788,0.292044788,0.235098414,chr3,45110240,45110241,224,-,ENSG00000163814.8,CDCP1,UTR3
ARHGAP11A_ENSG00000198826.11,PAS14259_ATTAAA_0.1,2.29E-30,4.55E-30,ARHGAP11A_ENSG00000198826.11,135.018684,1,3.27E-31,2.75E-28,ARHGAP11A_ENSG00000198826.11,0.333187134,0.333187134,0.333187134,0.697775933,0.697775933,0.697775933,0.364588799,chr15,32636179,32636180,158,+,ENSG00000198826.11,ARHGAP11A,UTR3
HSPA4_ENSG00000170606.16,PAS5653_ATTAAA_0.2,1.58E-27,2.26E-30,HSPA4_ENSG00000170606.16,134.2282743,1,4.87E-31,3.73E-28,HSPA4_ENSG00000170606.16,0.869694483,0.869694483,0.869694483,0.631602163,0.631602163,0.631602163,-0.23809232,chr5,133104476,133104477,424,+,ENSG00000170606.16,HSPA4,UTR3
HSPA4_ENSG00000170606.16,PAS5655_AATAAA_0.25,1.58E-27,5.25E-30,HSPA4_ENSG00000170606.16,132.5527326,1,1.13E-30,7.94E-28,HSPA4_ENSG00000170606.16,0.123839247,0.123839247,0.123839247,0.357449843,0.357449843,0.357449843,0.233610596,chr5,133106446,133106447,196,+,ENSG00000170606.16,HSPA4,UTR3
RPL37A_ENSG00000197756.10,PAS2618_AATAAA_0.2,2.29E-30,2.31E-29,RPL37A_ENSG00000197756.10,130.989089,1,2.49E-30,1.61E-27,RPL37A_ENSG00000197756.10,0.995230072,0.995230072,0.995230072,0.983581391,0.983581391,0.983581391,-0.01164868,chr2,216501462,216501463,28866,+,ENSG00000197756.10,RPL37A,UTR3
SPPL3_ENSG00000157837.16,PAS13082_ATTAAA_0.4,8.87E-27,9.24E-29,SPPL3_ENSG00000157837.16,128.2351078,1,9.97E-30,5.99E-27,SPPL3_ENSG00000157837.16,0.546326249,0.546326249,0.546326249,0.271674597,0.271674597,0.271674597,-0.274651652,chr12,120764464,120764465,70,-,ENSG00000157837.16,SPPL3,UTR3
KPNB1_ENSG00000108424.11,PAS16110_AATAAA_0.45,2.40E-27,2.66E-28,KPNB1_ENSG00000108424.11,126.1382928,1,2.87E-29,1.61E-26,KPNB1_ENSG00000108424.11,0.672702102,0.672702102,0.672702102,0.428144001,0.428144001,0.428144001,-0.244558101,chr17,47683547,47683548,16,+,ENSG00000108424.11,KPNB1,UTR3
N4BP2L2_ENSG00000244754.9,PAS13408_AATAAA_0.4,3.09E-26,1.77E-28,N4BP2L2_ENSG00000244754.9,125.5669633,1,3.82E-29,2.01E-26,N4BP2L2_ENSG00000244754.9,0.045850787,0.045850787,0.045850787,0.3638475,0.3638475,0.3638475,0.317996713,chr13,32432786,32432787,22,-,ENSG00000244754.9,N4BP2L2,UTR3
CD59_ENSG00000085063.18,PAS11508_AATAAA_0.25,2.41E-31,1.87E-27,CD59_ENSG00000085063.18,122.2643269,1,2.02E-28,1.00E-25,CD59_ENSG00000085063.18,0.122942149,0.122942149,0.122942149,0.293533543,0.293533543,0.293533543,0.170591395,chr11,33705282,33705283,574,-,ENSG00000085063.18,CD59,UTR3
RPL37A_ENSG00000197756.10,PAS2620_AATAAA_0.3,2.29E-30,1.09E-26,RPL37A_ENSG00000197756.10,118.7658973,1,1.18E-27,5.51E-25,RPL37A_ENSG00000197756.10,0.001477438,0.001477438,0.001477438,0.009053413,0.009053413,0.009053413,0.007575975,chr2,216529577,216529578,55,+,ENSG00000197756.10,RPL37A,UTR3
GSPT1_ENSG00000103342.13,PAS15478_AATAAA_0.2,1.70E-26,1.55E-26,GSPT1_ENSG00000103342.13,118.0759608,1,1.67E-27,7.39E-25,GSPT1_ENSG00000103342.13,0.783167837,0.783167837,0.783167837,0.473532425,0.473532425,0.473532425,-0.309635412,chr16,11872681,11872682,339,-,ENSG00000103342.13,GSPT1,UTR3
AP2B1_ENSG00000006125.18,PAS15966_AATAAA_0.35,7.85E-24,1.78E-26,AP2B1_ENSG00000006125.18,116.4233689,1,3.84E-27,1.62E-24,AP2B1_ENSG00000006125.18,0.659279068,0.659279068,0.659279068,0.902154713,0.902154713,0.902154713,0.242875645,chr17,35726408,35726409,1712,+,ENSG00000006125.18,AP2B1,UTR3
FBN2_ENSG00000138829.14,PAS6126_AATAAA_0.3,7.85E-24,7.89E-26,FBN2_ENSG00000138829.14,114.8443985,1,8.51E-27,3.41E-24,FBN2_ENSG00000138829.14,0.793352832,0.793352832,0.793352832,0.49426551,0.49426551,0.49426551,-0.299087322,chr5,128257909,128257910,396,-,ENSG00000138829.14,FBN2,UTR3
STAU2_ENSG00000040341.18,PAS8734_APA_0.1,6.27E-24,6.25E-23,STAU2_ENSG00000040341.18,102.9875671,1,3.37E-24,1.29E-21,STAU2_ENSG00000040341.18,0.556335224,0.556335224,0.556335224,0.18985533,0.18985533,0.18985533,-0.366479894,chr8,73420370,73420371,192,-,ENSG00000040341.18,STAU2,UTR3
