chr,start,end,strand,total_count,avg_change_in_usage,all_above_threshold,below_padj_threshold_count,max_abs_change_in_usage,max_change_in_usage,avg_abs_change_in_usage,avg_basemean,avg_ctrl_usage,cell_lines,gene_name,feature_id,pA_type
chr2,203432167,203432168,+,10,0.2983094656238561,TRUE,10,0.5239375156879973,0.5239375156879973,0.2983094656238561,384.9709661413412,0.5425394754887523,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ABI2,PAS6853_AATAAA_0.2,distal pA
chr2,203427596,203427597,+,10,-0.299113963,TRUE,10,0.5239375156879973,-0.523937516,0.29911396349218167,384.9709661413412,0.4388343195774105,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ABI2,PAS6851_AATAAA_0.4,proximal pA
chr2,278279,278280,+,10,0.2173575057317206,TRUE,10,0.3782909388093354,0.3782909388093354,0.2173575057317206,381.2120778372443,0.4676509154022574,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ACP1,PAS5154_AATAAA_0.15,distal pA
chr2,277506,277507,+,10,-0.217357506,TRUE,10,0.37829093880933534,-0.378290939,0.21735750573172058,381.2120778372443,0.53234908459774255,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ACP1,PAS5153_AATAAA_0.25,proximal pA
chr1,147629660,147629661,-,6,0.3228051343255962,TRUE,5,0.5022040916182594,0.5022040916182594,0.3228051343255962,121.68855234275614,0.10610245123593827,"H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403",ACP6,PAS4019_ATTAAA_0.35,distal pA
chr1,147647367,147647368,-,7,-0.363771756,TRUE,6,0.5022040916182594,-0.502204092,0.3637717559997555,121.68855234275614,0.870165628,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403",ACP6,PAS4021_AATAAA_0,proximal pA
chr10,112428374,112428375,+,4,0.25327192805487225,TRUE,4,0.3590427657979273,0.3590427657979273,0.25327192805487225,441.02437679927067,0.5929536914038337,"GP2D, HCT116_p53minus, HCT116_p53plus, PANC0403",ACSL5,PAS27843_AATAAA_0.1,distal pA
chr10,112427429,112427430,+,4,-0.253271928,TRUE,4,0.3590427657979274,-0.359042766,0.2532719280548723,441.02437679927067,0.40704630859616625,"GP2D, HCT116_p53minus, HCT116_p53plus, PANC0403",ACSL5,PAS27842_ATTAAA_0.05,proximal pA
chr6,143422832,143422833,-,3,0.3088963791415716,TRUE,3,0.3394747289542409,0.3394747289542409,0.3088963791415716,68.41993574663383,0.2052008954742634,"HCT116_p53minus, HCT116_p53plus, LU99",ADAT2,PAS19719_AATAAA_0.4,distal pA
chr6,143427220,143427221,-,3,-0.20455409,TRUE,1,0.29235341763690437,-0.292353418,0.20455409029670768,68.41993574663383,0.43233000731307797,"HCT116_p53minus, HCT116_p53plus, SKMEL2",ADAT2,PAS19721_APA_0.3,proximal pA
chr6,46997709,46997710,-,3,0.2337322937997579,TRUE,2,0.3636296978361592,0.3636296978361592,0.2337322937997579,513.4653254850568,0.26344265357550034,"HCT116_p53minus, HCT116_p53plus, PANC0403",ADGRF1,PAS19154_AATAAA_0.4,distal pA
chr6,47000076,47000077,-,3,-0.245977546,TRUE,2,0.3393433402432088,-0.33934334,0.24597754604728272,513.4653254850568,0.6476728178666569,"HCT116_p53minus, HCT116_p53plus, PANC0403",ADGRF1,PAS19156_AATAAA_0.1,proximal pA
chr10,62808470,62808471,+,10,0.20867425701793912,TRUE,8,0.3293590789732096,0.3293590789732096,0.20867425701793912,95.96785437,0.5014267455707592,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ADO,PAS27252_AATAAA_0.25,distal pA
chr10,62807335,62807336,+,10,-0.208674257,TRUE,8,0.3293590789732096,-0.329359079,0.20867425701793915,95.96785437,0.4985732544292408,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ADO,PAS27251_AATAAA_0.15,proximal pA
chr9,131123142,131123143,+,8,0.14727334280684545,TRUE,5,0.25724328,0.25724328,0.14727334280684545,160.60558426337502,0.7285493352924166,"GP2D, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, U2OS",AIF1L,PAS25648_AATAAA_0.2,distal pA
chr9,131121220,131121221,+,8,-0.147273343,TRUE,5,0.25724328,-0.25724328,0.14727334280684543,160.60558426337502,0.2714506647075834,"GP2D, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, U2OS",AIF1L,PAS25647_APA_0.3,proximal pA
chr10,70112273,70112274,-,10,0.282445348,TRUE,9,0.44180646371703064,0.44180646371703064,0.282445348,135.66377907141597,0.34549262324725083,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AIFM2,PAS28661_AATAAA_0.35,distal pA
chr10,70113986,70113987,-,10,-0.282445348,TRUE,9,0.4418064637170307,-0.441806464,0.282445348,135.66377907141597,0.6545073767527492,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AIFM2,PAS28662_ATTAAA_0.2,proximal pA
chr4,106349221,106349222,+,6,0.12717564817017127,TRUE,6,0.16501790745185813,0.16501790745185813,0.12717564817017127,462.9707338156176,0.11187213327313755,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, PANC0403",AIMP1,PAS13116_AATAAA_0.2,distal pA
chr4,106347766,106347767,+,10,-0.1805801,TRUE,10,0.2397474440331523,-0.239747444,0.18058009953622267,462.9707338156176,0.7678368329912784,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AIMP1,PAS13114_AATAAA_0.35,proximal pA
chr15,85749354,85749355,+,6,0.18212661720176976,TRUE,4,0.27965761616970963,0.27965761616970963,0.18212661720176976,460.7647626855654,0.7111787119800972,"GP2D, HCT116_p53minus, HCT116_p53plus, MCF7, PANC0403, U2OS",AKAP13,PAS38954_AATAAA_0.05,distal pA
chr15,85745383,85745384,+,6,-0.182126617,TRUE,4,0.2796576161697095,-0.279657616,0.18212661720176976,460.7647626855654,0.28882128801990287,"GP2D, HCT116_p53minus, HCT116_p53plus, MCF7, PANC0403, U2OS",AKAP13,PAS38952_APA_0.1,proximal pA
chr10,4848056,4848057,+,2,-0.196492092,TRUE,1,0.263372048,-0.263372048,0.19649209243439153,23.40212234907164,0.8304129857127858,"H838, MCF7",AKR1E2,PAS26831_AATAAA_0.45,distal pA
chr10,4836105,4836106,+,2,0.19649209243439159,TRUE,1,0.26337204763459604,0.26337204763459604,0.19649209243439159,23.40212234907164,0.16958701428721426,"H838, MCF7",AKR1E2,PAS26829_ATTAAA_0.4,proximal pA
chr19,40231102,40231103,-,10,0.19343177001742454,TRUE,10,0.31647734838160146,0.31647734838160146,0.19343177001742454,416.1663783625205,0.15470995348018968,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AKT2,PAS48182_AATAAA_0.45,distal pA
chr19,40232334,40232335,-,10,-0.262577707,TRUE,10,0.4628306970834003,-0.462830697,0.26257770671561614,416.1663783625205,0.7909747598339618,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AKT2,PAS48183_AATAAA_0.2,proximal pA
chr1,243499724,243499725,-,6,0.20933881801098625,TRUE,5,0.3181370486076669,0.3181370486076669,0.20933881801098625,231.97897747174846,0.27002045929826435,"H838, LU99, PANC0403, SKMEL2, SUM149PT, U2OS",AKT3,PAS5089_AATAAA_0.2,distal pA
chr1,243501763,243501764,-,6,-0.208068557,TRUE,5,0.318137049,-0.318137049,0.20806855671239188,231.97897747174846,0.6918977624289412,"H838, LU99, PANC0403, SKMEL2, SUM149PT, U2OS",AKT3,PAS5090_AATAAA_0.1,proximal pA
chr6,24537205,24537206,+,8,0.21409882444124656,TRUE,5,0.3093114153693485,0.3093114153693485,0.21409882444124656,88.59462678774452,0.5892742800879465,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, SUM149PT, U2OS",ALDH5A1,PAS17429_AATAAA_0.15,distal pA
chr6,24533810,24533811,+,8,-0.214098824,TRUE,5,0.3093114153693486,-0.309311415,0.21409882444124662,88.59462678774452,0.4107257199120536,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, SUM149PT, U2OS",ALDH5A1,PAS17428_AATAAA_0.35,proximal pA
chr1,63437197,63437198,+,2,-0.151775689,TRUE,1,0.1564932746396107,-0.156493275,0.15177568859970486,59.55324543999342,0.9043771228522028,"HCT116_p53minus, U2OS",ALG6,PAS943_AATAAA_0.35,distal pA
chr1,63407863,63407864,+,2,0.1575457557300305,TRUE,2,0.15859823682045043,0.15859823682045043,0.1575457557300305,59.55324543999342,0.039743225,"HCT116_p53minus, U2OS",ALG6,PAS942_AATAAA_0.25,proximal pA
chr2,240479421,240479422,-,7,-0.52853879,TRUE,7,0.6943196845621223,-0.694319685,0.5285387895554612,45.00826989,0.6047431400468919,"GP2D, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SUM149PT",ANKMY1,PAS9048_AATAAA_0,distal pA
chr2,240521938,240521939,-,7,0.5285387895554612,TRUE,7,0.6943196845621223,0.6943196845621223,0.5285387895554612,45.00826989,0.3952568599531081,"GP2D, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SUM149PT",ANKMY1,PAS9050_AATAAA_0.15,proximal pA
chr13,110878540,110878541,-,10,0.3466485075354254,TRUE,10,0.4699990171004047,0.4699990171004047,0.3466485075354254,301.40735370698275,0.26804110516205576,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ANKRD10,PAS36301_AATAAA_0.05,distal pA
chr13,110892697,110892698,-,10,-0.309525138,TRUE,10,0.40946035423854854,-0.409460354,0.309525138,301.40735370698275,0.5191855028083361,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ANKRD10,PAS36304_ATTAAA_0.1,proximal pA
chr10,5860909,5860910,-,5,0.26304675423639423,TRUE,2,0.36630070329025255,0.36630070329025255,0.26304675423639423,43.36281709008526,0.1936720021040493,"GP2D, HCT116_p53minus, LU99, SKMEL2, SUM149PT",ANKRD16,PAS28163_None_0.25,distal pA
chr10,5878089,5878090,-,5,-0.263046754,TRUE,2,0.3663007032902528,-0.366300703,0.2630467542363942,43.36281709008526,0.8063279978959507,"GP2D, HCT116_p53minus, LU99, SKMEL2, SUM149PT",ANKRD16,PAS28165_AATAAA_0.2,proximal pA
chr2,69826360,69826361,+,10,0.18052257072379982,TRUE,7,0.2666790328105345,0.2666790328105345,0.18052257072379982,146.47920222539943,0.36155444834348033,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ANXA4,PAS5786_APA_0.25,distal pA
chr2,69825776,69825777,+,10,-0.180522571,TRUE,7,0.2666790328105345,-0.266679033,0.18052257072379985,146.47920222539943,0.6384455516565197,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ANXA4,PAS5785_AATAAA_0.35,proximal pA
chr11,1012238,1012239,+,10,0.20630152673188173,TRUE,8,0.3992447121056111,0.3992447121056111,0.20630152673188173,205.14884815421172,0.1582006876441034,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AP2A2,PAS29386_AATAAA_0.15,distal pA
chr11,1010918,1010919,+,10,-0.206301527,TRUE,8,0.39924471210561113,-0.399244712,0.20630152673188168,205.14884815421172,0.8417993123558966,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AP2A2,PAS29385_ATTAAA_0.2,proximal pA
chr7,4794394,4794395,+,10,0.22922100044206647,TRUE,10,0.35202035760232153,0.35202035760232153,0.22922100044206647,192.23344697003859,0.1341282399654681,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AP5Z1,PAS19983_AATAAA_0.15,distal pA
chr7,4791749,4791750,+,10,-0.295874283,TRUE,10,0.376967186,-0.376967186,0.29587428261224424,192.23344697003859,0.8043185139481508,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",AP5Z1,PAS19980_APA_0.35,proximal pA
chr15,29118310,29118311,+,3,0.14850814268221044,TRUE,2,0.21658765953518017,0.21658765953518017,0.14850814268221044,81.50277829562732,0.1854027987150607,"H838, LU99, U2OS",APBA2,PAS38226_AATAAA_0.25,distal pA
chr15,29117706,29117707,+,3,-0.148508143,TRUE,2,0.21658765953518025,-0.21658766,0.14850814268221052,81.50277829562732,0.8145972012849393,"H838, LU99, U2OS",APBA2,PAS38225_AATAAA_0.45,proximal pA
chr15,63309117,63309118,+,5,0.2087722281439254,TRUE,2,0.30115064845286754,0.30115064845286754,0.2087722281439254,53.150346741666915,0.34120801051024724,"H838, HCT116_p53minus, MCF7, PANC0403, U2OS",APH1B,PAS38652_AATAAA_0.1,distal pA
chr15,63305912,63305913,+,5,-0.208772228,TRUE,2,0.30115064845286754,-0.301150648,0.2087722281439254,53.150346741666915,0.6587919894897528,"H838, HCT116_p53minus, MCF7, PANC0403, U2OS",APH1B,PAS38651_AATAAA_0.25,proximal pA
chr22,36226210,36226211,-,9,0.36094768586382314,TRUE,8,0.4891519105870993,0.4891519105870993,0.36094768586382314,69.02750182247006,0.24565998789005788,"H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",APOL2,PAS51471_AATAAA_0.2,distal pA
chr22,36226623,36226624,-,9,-0.360947686,TRUE,8,0.4891519105870993,-0.489151911,0.36094768586382314,69.02750182247006,0.7543400121099422,"H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",APOL2,PAS51472_AATAAA_0.05,proximal pA
chr17,12991641,12991642,+,2,-0.301204891,TRUE,2,0.39214710096843486,-0.392147101,0.3012048906117734,57.59740228791934,0.9369595014341822,"MCF7, U2OS",ARHGAP44,PAS42309_ATTAAA_0.1,distal pA
chr17,12959046,12959047,+,2,0.30120489061177336,TRUE,2,0.3921471009684348,0.3921471009684348,0.30120489061177336,57.59740228791934,0.063040499,"MCF7, U2OS",ARHGAP44,PAS42308_ATTAAA_0.1,proximal pA
chr19,41930139,41930140,+,7,0.2745531764356158,TRUE,6,0.5228185090345513,0.5228185090345513,0.2745531764356158,159.1660388,0.11919588166020685,"GP2D, HCT116_p53minus, HCT116_p53plus, MCF7, PANC0403, SKMEL2, U2OS",ARHGEF1,PAS46872_ATTAAA_0.4,distal pA
chr19,41907450,41907451,+,7,-0.274553176,TRUE,6,0.5228185090345514,-0.522818509,0.27455317643561583,159.1660388,0.8808041183397931,"GP2D, HCT116_p53minus, HCT116_p53plus, MCF7, PANC0403, SKMEL2, U2OS",ARHGEF1,PAS46870_APA_0.15,proximal pA
chr9,35658876,35658877,-,4,-0.184740462,TRUE,1,0.2529647719806403,-0.252964772,0.18474046182131082,94.39269079719165,0.4015638121938441,"HCT116_p53minus, HCT116_p53plus, SUM149PT, U2OS",ARHGEF39,PAS26003_None_0.25,distal pA
chr9,35661436,35661437,-,4,0.18474046182131085,TRUE,1,0.2529647719806404,0.2529647719806404,0.18474046182131085,94.39269079719165,0.5984361878061559,"HCT116_p53minus, HCT116_p53plus, SUM149PT, U2OS",ARHGEF39,PAS26004_APA_0.25,proximal pA
chrX,63634967,63634968,-,7,0.18135624450033422,TRUE,1,0.33457155168104286,0.33457155168104286,0.18135624450033422,45.03914899947698,0.5802294028845986,"GP2D, H838, HCT116_p53minus, PANC0403, SKMEL2, SUM149PT, U2OS",ARHGEF9,PAS52770_AATAAA_0.15,distal pA
chrX,63637982,63637983,-,7,-0.181356245,TRUE,1,0.3345715516810429,-0.334571552,0.1813562445003342,45.03914899947698,0.4197705971154014,"GP2D, H838, HCT116_p53minus, PANC0403, SKMEL2, SUM149PT, U2OS",ARHGEF9,PAS52771_AATAAA_0.3,proximal pA
chr11,30338451,30338452,+,10,0.2835259446422509,TRUE,8,0.4938759724658339,0.4938759724658339,0.2835259446422509,102.26920405246133,0.3657657853062693,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ARL14EP,PAS29641_AATAAA_0.2,distal pA
chr11,30336805,30336806,+,10,-0.301299515,TRUE,8,0.5216086620079838,-0.521608662,0.3012995152572087,102.26920405246133,0.6267939729122605,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ARL14EP,PAS29639_AATAAA_0.4,proximal pA
chr15,97973830,97973831,+,2,0.10764993666100231,TRUE,1,0.13665793590561326,0.13665793590561326,0.10764993666100231,55.047755830118966,0.8001527927448784,"GP2D, MCF7",ARRDC4,PAS39064_AATAAA_0.25,distal pA
chr15,97972074,97972075,+,2,-0.107649937,TRUE,1,0.13665793590561345,-0.136657936,0.10764993666100245,55.047755830118966,0.1998472072551217,"GP2D, MCF7",ARRDC4,PAS39063_AATAAA_0.25,proximal pA
chr8,18056457,18056458,-,9,0.1799080040036617,TRUE,9,0.2801180469844252,0.2801180469844252,0.1799080040036617,380.9912618872066,0.5610021487606672,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ASAH1,PAS23676_AATAAA_0.35,distal pA
chr8,18066763,18066764,-,9,-0.171246127,TRUE,9,0.2801180469844251,-0.280118047,0.17124612713006548,380.9912618872066,0.37725869472018203,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ASAH1,PAS23679_AATAAA_0.05,proximal pA
chr12,50083609,50083610,+,3,0.15539788178758718,TRUE,2,0.25602298403049095,0.25602298403049095,0.15539788178758718,67.57341730662554,0.7937130766247829,"HCT116_p53plus, MCF7, U2OS",ASIC1,PAS32550_AATAAA_0.1,distal pA
chr12,50082726,50082727,+,3,-0.155397882,TRUE,2,0.25602298403049106,-0.256022984,0.1553978817875872,67.57341730662554,0.20628692337521715,"HCT116_p53plus, MCF7, U2OS",ASIC1,PAS32549_APA_0.05,proximal pA
chr2,23748664,23748665,-,3,0.15532540231748102,TRUE,1,0.24910023864442443,0.24910023864442443,0.15532540231748102,244.7011764184683,0.7488947612637956,"HCT116_p53minus, MCF7, U2OS",ATAD2B,PAS7387_AATAAA_0.2,distal pA
chr2,23751802,23751803,-,3,-0.155325402,TRUE,1,0.24910023864442432,-0.249100239,0.15532540231748102,244.7011764184683,0.25110523873620433,"HCT116_p53minus, MCF7, U2OS",ATAD2B,PAS7388_AATAAA_0.2,proximal pA
chr2,241673853,241673854,+,10,0.31358423766386984,TRUE,10,0.449940565,0.449940565,0.31358423766386984,287.6871545784842,0.40324061029505476,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ATG4B,PAS7248_APA_0.2,distal pA
chr2,241672627,241672628,+,10,-0.313584238,TRUE,10,0.4499405651465459,-0.449940565,0.31358423766386984,287.6871545784842,0.5967593897049452,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ATG4B,PAS7247_ATTAAA_0.4,proximal pA
chr3,11557662,11557663,+,9,0.30069609125272956,TRUE,8,0.4535425796725848,0.4535425796725848,0.30069609125272956,87.23614151091442,0.1270391782986444,"H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ATG7,PAS9191_AATAAA_0.45,distal pA
chr3,11555081,11555082,+,9,-0.300696091,TRUE,8,0.4535425796725849,-0.45354258,0.30069609125272956,87.23614151091442,0.8729608217013556,"H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ATG7,PAS9190_APA_0.15,proximal pA
chr11,63624087,63624088,-,10,0.18604415260179946,TRUE,9,0.28619466389291437,0.28619466389291437,0.18604415260179946,228.6238962973818,0.675696835,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ATL3,PAS31319_AATAAA_0.1,distal pA
chr11,63629123,63629124,-,10,-0.186044153,TRUE,9,0.28619466389291426,-0.286194664,0.18604415260179943,228.6238962973818,0.3243031647507039,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",ATL3,PAS31320_ATTAAA_0.15,proximal pA
chr13,112887165,112887166,+,8,-0.376218334,TRUE,8,0.5788122766089472,-0.578812277,0.37621833405935634,166.6039082,0.6829909149219227,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, PANC0403, SUM149PT, U2OS",ATP11A,PAS35766_AATAAA_0.2,distal pA
chr13,112860794,112860795,+,4,0.38437681979477945,TRUE,4,0.433003075,0.433003075,0.38437681979477945,166.6039082,0.050888079,"HCT116_p53minus, HCT116_p53plus, PANC0403, U2OS",ATP11A,PAS35762_APA_0.1,proximal pA
chr17,82942156,82942157,-,7,0.41421305249334833,TRUE,7,0.5022002723357629,0.5022002723357629,0.41421305249334833,63.27985941,0.32187653094876895,"H838, HCT116_p53minus, HCT116_p53plus, LU99, PANC0403, SKMEL2, U2OS",B3GNTL1,PAS45096_AATAAA_0.35,distal pA
chr17,82943795,82943796,-,7,-0.414213052,TRUE,7,0.5022002723357629,-0.502200272,0.4142130524933483,63.27985941,0.678123469,"H838, HCT116_p53minus, HCT116_p53plus, LU99, PANC0403, SKMEL2, U2OS",B3GNTL1,PAS45097_AATAAA_0.45,proximal pA
chr12,57623409,57623410,-,6,0.14602569666581205,TRUE,1,0.2426919865729527,0.2426919865729527,0.14602569666581205,83.44318653502168,0.43811860833945004,"H838, HCT116_p53minus, HCT116_p53plus, LU99, SUM149PT, U2OS",B4GALNT1,PAS34434_APA_0.15,distal pA
chr12,57626167,57626168,-,5,-0.181667413,TRUE,2,0.2292452716211289,-0.229245272,0.18166741323120977,83.44318653502168,0.34394480297758906,"HCT116_p53minus, HCT116_p53plus, LU99, SUM149PT, U2OS",B4GALNT1,PAS34435_None_0.25,proximal pA
chr17,81116223,81116224,+,10,-0.437178991,TRUE,10,0.6066219715714827,-0.606621972,0.4371789905580514,249.36815206856244,0.8385304686437317,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",BAIAP2,PAS43519_AATAAA_0.15,distal pA
chr17,81110511,81110512,+,10,0.4365218662004874,TRUE,10,0.6066219715714828,0.6066219715714828,0.4365218662004874,249.36815206856244,0.14860370220467395,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",BAIAP2,PAS43518_AATAAA_0.2,proximal pA
chr7,98291650,98291651,-,10,0.16654721184440194,TRUE,9,0.4106731117422332,0.4106731117422332,0.16654721184440194,251.3985304100097,0.44042227955449564,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",BAIAP2L1,PAS21987_AATAAA_0.2,distal pA
chr7,98293243,98293244,-,10,-0.166547212,TRUE,9,0.4106731117422332,-0.410673112,0.16654721184440194,251.3985304100097,0.5595777204455044,"GP2D, H838, HCT116_p53minus, HCT116_p53plus, LU99, MCF7, PANC0403, SKMEL2, SUM149PT, U2OS",BAIAP2L1,PAS21988_APA_0.35,proximal pA
chr12,49836041,49836042,-,3,0.2758896617276723,TRUE,2,0.31747898448472456,0.31747898448472456,0.2758896617276723,44.561653929324976,0.11932283277385398,"GP2D, HCT116_p53plus, MCF7",BCDIN3D,PAS34212_AATAAA_0.15,distal pA
chr12,49837863,49837864,-,3,-0.275889662,TRUE,2,0.31747898448472456,-0.317478984,0.2758896617276724,44.561653929324976,0.8806771672261461,"GP2D, HCT116_p53plus, MCF7",BCDIN3D,PAS34213_APA_0.3,proximal pA
chr2,60452158,60452159,-,3,-0.328336245,TRUE,3,0.4653325258737241,-0.465332526,0.32833624512642284,217.22758160057887,0.565767549,"GP2D, LU99, U2OS",BCL11A,PAS7733_AATAAA_0.05,distal pA
chr2,60457194,60457195,-,3,0.3283362451264229,TRUE,3,0.4653325258737241,0.4653325258737241,0.3283362451264229,217.22758160057887,0.4342324507103649,"GP2D, LU99, U2OS",BCL11A,PAS7734_AATAAA_0.2,proximal pA
chrX,19912859,19912860,-,3,0.24480029114519056,TRUE,1,0.26814939938251847,0.26814939938251847,0.24480029114519056,90.26291102309946,0.5594321389353821,"HCT116_p53minus, MCF7, PANC0403",BCLAF3,PAS52565_AATAAA_0.4,distal pA
chrX,19916257,19916258,-,3,-0.244800291,TRUE,1,0.26814939938251836,-0.268149399,0.24480029114519058,90.26291102309946,0.4405678610646179,"HCT116_p53minus, MCF7, PANC0403",BCLAF3,PAS52566_AATAAA_0.35,proximal pA
chr4,103078251,103078252,-,4,0.12837651153313887,TRUE,1,0.1623901661025044,0.1623901661025044,0.12837651153313887,83.30675236322544,0.12551342999289786,"H838, LU99, PANC0403, SKMEL2",BDH2,PAS14125_AATAAA_0.35,distal pA
chr4,103079435,103079436,-,4,-0.128376512,TRUE,1,0.16239016610250445,-0.162390166,0.12837651153313892,83.30675236322544,0.8744865700071022,"H838, LU99, PANC0403, SKMEL2",BDH2,PAS14126_AATAAA_0.15,proximal pA
chr12,32383631,32383632,+,4,-0.339768473,TRUE,4,0.4832820584730576,-0.483282058,0.33976847257836157,103.95780587758807,0.4718800628868365,"H838, HCT116_p53minus, HCT116_p53plus, LU99",BICD1,PAS32454_AATAAA_0.2,distal pA
chr12,32333063,32333064,+,5,0.2243449089785367,TRUE,3,0.43155049401196066,0.43155049401196066,0.2243449089785367,103.95780587758807,0.17794681448751826,"HCT116_p53plus, MCF7, PANC0403, SKMEL2, U2OS",BICD1,PAS32444_AATAAA_0.2,proximal pA
chr6,7882811,7882812,-,4,-0.327189966,TRUE,4,0.4308340694821971,-0.430834069,0.3271899663251946,NA,0.7525113835972527,"H838, HCT116_p53minus, HCT116_p53plus, MCF7",BLOC1S5-TXNDC5,PAS18638_APA_0.1,distal pA
