unique_featureID,gene_ID,chr,start,end,strand,mean_diffsiELAVL1,mean_diffsiSam68,mean_diffsiCFIM25,mean_diff96,mean_diff72,mean_diff48,mean_diff24,mean_diff96hrs_prev,ctrl_siELAVL1,ctrl_siSam68,ctrl_siCFIM25,ctrl_96,ctrl_72,ctrl_48,ctrl_24,ctrl_96hrs_prev,condition_siELAVL1,condition_siSam68,condition_siCFIM25,condition_96,condition_72,condition_48,condition_24,condition_96hrs_prev,V5_siELAVL1,V5_siSam68,V5_siCFIM25,V5_96,V5_72,V5_48,V5_24,V5_96hrs_prev,twostep_gene_padj_siELAVL1,twostep_gene_padj_siSam68,twostep_gene_padj_siCFIM25,twostep_gene_padj_96,twostep_gene_padj_72,twostep_gene_padj_48,twostep_gene_padj_24,twostep_gene_padj_96hrs_prev,twostep_transcript_padj_siELAVL1,twostep_transcript_padj_siSam68,twostep_transcript_padj_siCFIM25,twostep_transcript_padj_96,twostep_transcript_padj_72,twostep_transcript_padj_48,twostep_transcript_padj_24,twostep_transcript_padj_96hrs_prev,lr_siELAVL1,lr_siSam68,lr_siCFIM25,lr_96,lr_72,lr_48,lr_24,lr_96hrs_prev,df_siELAVL1,df_siSam68,df_siCFIM25,df_96,df_72,df_48,df_24,df_96hrs_prev,pvalue_siELAVL1,pvalue_siSam68,pvalue_siCFIM25,pvalue_96,pvalue_72,pvalue_48,pvalue_24,pvalue_96hrs_prev,adj_pvalue_siELAVL1,adj_pvalue_siSam68,adj_pvalue_siCFIM25,adj_pvalue_96,adj_pvalue_72,adj_pvalue_48,adj_pvalue_24,adj_pvalue_96hrs_prev,category,Location,Effect
PABPC1_AATAAA_chr8_start_100702915_end_100702916,PABPC1,chr8,100702915,100702916,-,-0.060121832,-0.010509117,-0.024096528,0.003055472,-0.016154065,-0.008766014,0.018961901,0.045241709,0.430295202,0.43030492,0.429142263,0.51771885,0.55183366,0.54462399,0.540252725,0.458161346,0.370173371,0.419795803,0.405045735,0.520774322,0.535679594,0.535857976,0.559214626,0.503403054,20278,20278,20278,31511,31511,31511,31511,28108,3.52e-14,0.650474146,0.836779297,0.602762066,0.039419669,0.626451796,3.84e-4,0.005606621,1.11e-17,NA,NA,NA,0.152004994,NA,0.002111149,4.08e-4,79.49631929,2.51860067,1.57604006,0.083368524,4.890362576,1.322866289,13.54650969,16.65088586,1,1,1,1,1,1,1,1,4.83e-19,0.112510385,0.209332014,0.77278335,0.027007014,0.250078289,2.33e-4,4.49e-5,3.08e-16,0.345321618,0.283084573,0.829175062,0.059194653,0.394277068,0.001758876,3.18e-4,Control_sites,distal,Control
PABPC1_AATAAA_chr8_start_100703236_end_100703237,PABPC1,chr8,100703236,100703237,-,0.059904076,0.011308074,0.022517015,-0.011326898,0.001490989,0.006098213,-0.014522194,-0.030751941,0.560627092,0.560630878,0.559092984,0.363786604,0.346544667,0.345105623,0.351243705,0.422778313,0.620531168,0.571938952,0.581609999,0.352459706,0.348035656,0.351203836,0.33672151,0.392026372,283,283,283,541,541,541,541,472,3.52e-14,0.650474146,0.836779297,0.602762066,0.039419669,0.626451796,3.84e-4,0.005606621,1.84e-17,NA,NA,NA,1,NA,0.028787636,0.038139207,78.50761026,2.855347963,1.366166578,1.335167189,0.042477438,0.665383639,8.704977862,8.19656075,1,1,1,1,1,1,1,1,7.97e-19,0.091070532,0.242471612,0.247888046,0.836712368,0.414665725,0.003173423,0.004196987,4.72e-16,0.303820206,0.320549336,0.339466029,0.889333263,0.562525006,0.015985799,0.015489289,Control_sites,proximal,Control
MLXIP_APA_chr12_start_122134162_end_122134163,MLXIP,chr12,122134162,122134163,+,-0.036537358,-0.033075437,-0.022405637,-0.01167455,0.001688364,0.043032199,0.108906277,-0.038503257,0.043966328,0.044241594,0.044970044,0.027206428,0.030845266,0.025119766,0.029307391,0.049788239,0.00742897,0.011166157,0.022564407,0.015531878,0.03253363,0.068151965,0.138213668,0.011284981,42,42,42,55,55,55,55,99,9.08e-11,3.87e-6,0.055640757,3.1e-5,0.004082523,3.33e-12,6.54e-27,7.28e-4,8.36e-11,1.64e-5,NA,0.023295889,1,8.11e-7,1.37e-22,6.78e-4,47.52166292,23.52197174,5.226424613,7.200512216,0.064478615,27.19078631,99.21643811,14.38195234,1,1,1,1,1,1,1,1,5.44e-12,1.23e-6,0.022246216,0.007288278,0.799552422,1.84e-7,2.26e-23,1.49e-4,1.1e-9,5.93e-5,0.039099968,0.016297379,0.86281289,1.77e-6,2.35e-21,9.28e-4,Control_sites,proximal,Control
RPL28_AATAAA_chr19_start_55388371_end_55388372,RPL28,chr19,55388371,55388372,+,0.014460171,0.001036826,0.019593735,-0.069983118,-0.065268408,-0.05585101,-0.027720361,-0.052406006,0.976500923,0.976602615,0.976632307,0.986997992,0.987726353,0.989559789,0.988521464,0.991976543,0.990961094,0.977639441,0.996226043,0.917014874,0.922457945,0.93370878,0.960801103,0.939570536,20114,20114,20114,28538,28538,28538,28538,26306,9.78e-7,0.076339549,6.23e-25,2.1199999999999998e-126,1.1399999999999999e-174,2.78e-90,1.69e-62,9.3e-109,7.53e-9,NA,8.56e-28,1.9899999999999998e-126,8.77e-174,2.34e-86,7.79e-59,1.46e-111,38.71623323,0.163700994,121.6076161,574.3958112,792.4716486,390.8799776,265.1588654,507.5662025,1,1,1,1,1,1,1,1,4.9e-10,0.685771709,2.81e-28,6.21e-127,2.3399999999999997e-174,5.319999999999999e-87,1.2900000000000001e-59,2.15e-112,5.42e-8,0.864832959,7.810000000000001e-27,3.2399999999999993e-124,8.979999999999998e-171,3.86e-84,1.62e-56,3.1599999999999996e-109,Control_sites,proximal,Control
SFPQ_AATAAA_chr1_start_35184121_end_35184122,SFPQ,chr1,35184121,35184122,-,-0.09864055,-0.012535877,0.017611467,-0.083685863,-0.046324664,-0.026314038,-0.037814438,-0.065528477,0.220394814,0.220388041,0.220413467,0.372658705,0.339945869,0.334605887,0.349195772,0.341730932,0.121754264,0.207852164,0.238024933,0.288972843,0.293621205,0.308291849,0.311381333,0.276202455,194,194,194,814,814,814,814,775,9.36e-6,0.683275695,7.27e-5,1.13e-23,1.79e-17,4.16e-12,2.18e-11,2.75e-6,4.05e-7,NA,0.495217953,4.58e-9,0.003786749,0.101496857,0.006322144,0.048380285,30.96099174,0.28555736,0.96612677,36.62220607,10.81061383,5.163338738,10.7454005,6.523152248,1,1,1,1,1,1,1,1,2.63e-8,0.593081647,0.325648055,1.43e-9,0.001009198,0.02306851,0.001045388,0.010647911,2.18e-6,0.81392038,0.411013986,1.07e-8,0.003447716,0.060838684,0.006261261,0.033335543,Control_sites,proximal,Control
TMEM41B_AATAAA_chr11_start_9281163_end_9281164,TMEM41B,chr11,9281163,9281164,-,-0.097975036,-0.05409257,-0.06936548,-0.093966357,-0.045906301,-0.067477411,-0.027096174,-0.11867401,0.160599237,0.160382985,0.16037975,0.209460658,0.177096492,0.21017358,0.200850765,0.227088738,0.062624201,0.106290415,0.09101427,0.115494301,0.131190191,0.142696169,0.173754591,0.108414727,37,37,37,39,39,39,39,78,2.47e-9,0.068041854,0.001249636,3.48e-8,0.004518189,1.12e-5,0.054930052,0.042736613,4.56e-7,NA,2.67e-4,6.66e-4,0.033417966,0.002282437,NA,0.060854391,29.38597706,6.910751015,14.07621701,12.45618584,5.614516086,10.75938569,1.116805742,4.904511953,1,1,1,1,1,1,1,1,5.93e-8,0.0085679,1.76e-4,4.17e-4,0.017812299,0.001037518,0.290607301,0.02678662,4.47e-6,0.065471539,4.96e-4,0.001271447,0.041912362,0.004392501,0.482588303,0.070933378,Control_sites,distal,Control
WIPI2_AATAAA_chr7_start_5233817_end_5233818,WIPI2,chr7,5233817,5233818,+,-0.03519987,0.020056266,-0.038047108,0.092039565,0.081954464,0.032394276,0.011739447,0.066011103,0.052881598,0.052789778,0.053358874,0.035410411,0.035568176,0.048967201,0.033165232,0.050047341,0.017681729,0.072846044,0.015311766,0.127449976,0.11752264,0.081361477,0.044904679,0.116058444,53,53,53,155,155,155,155,229,1.19e-5,0.076221654,6.36e-5,3.04e-39,3.42e-28,1.46e-6,0.504580963,5.95e-5,2.1e-6,NA,9.3e-6,1.61e-39,5.28e-26,2.25e-4,NA,9.8e-6,26.428405390000002,5.361491451,20.45110487,173.9607625,112.4716676,15.09636635,2.078912396,22.44999351,1,1,1,1,1,1,1,1,2.73e-7,0.020586161,6.12e-6,1.01e-39,2.82e-26,1.02e-4,0.149346556,2.16e-6,1.86e-5,0.121662615,2.23e-5,5.85e-38,1.05e-24,5.69e-4,0.306828933,2.17e-5,Control_sites,distal,Control
RPL28_AATAAA_chr19_start_55391766_end_55391767,RPL28,chr19,55391766,55391767,+,-0.007072966,-0.004198956,-0.009520465,0.036073646,0.035124655,0.030123816,0.014301141,0.022452465,0.010979167,0.010960517,0.010956479,0.0062383,0.005387034,0.004112111,0.005410139,0.003161852,0.0039062,0.006761561,0.001436015,0.042311946,0.040511688,0.034235927,0.01971128,0.025614318,93,93,93,181,181,181,181,158,9.78e-7,0.076339549,6.23e-25,2.1199999999999998e-126,1.1399999999999999e-174,2.78e-90,1.69e-62,9.3e-109,1.39e-4,NA,7.32e-15,2.69e-66,7.71e-99,1.71e-51,9.65e-32,1.02e-48,19.7007402,6.249934742,62.69941646,298.1317647,447.9112648,230.8575075,141.0158182,219.0004965,1,1,1,1,1,1,1,1,9.06e-6,0.012419788,2.41e-15,8.41e-67,2.0499999999999997e-99,3.88e-52,1.5999999999999998e-32,1.49e-49,3.82e-4,0.08568689,2.61e-14,1.08e-64,1.0299999999999996e-96,8.17e-50,3.84e-30,4.76e-47,Control_sites,distal,Control
SERF2_AATAAA_chr15_start_43801862_end_43801863,SERF2,chr15,43801862,43801863,+,-0.051568556,-0.070894152,-0.070880632,0.100151967,0.131513884,0.091275435,0.032070143,0.115169784,0.21297224,0.212841168,0.213024935,0.275304127,0.23661757,0.273828278,0.322750309,0.188130597,0.161403684,0.141947016,0.142144304,0.375456094,0.368131454,0.365103712,0.354820453,0.303300381,394,394,394,1013,1013,1013,1013,1139,0.001433858,8.16e-11,3.33e-10,1.16e-56,6.09e-28,4.91e-13,0.007787049,6.43e-13,1.02e-4,2.81e-13,1.63e-9,2.04e-36,2.75e-24,3.43e-13,0.002711912,1.29e-12,18.97680703,57.0544456,37.18644125,159.7607105,104.6388174,54.49648598,11.02926338,53.32074171,1,1,1,1,1,1,1,1,1.32e-5,4.24e-14,1.07e-9,1.28e-36,1.4699999999999999e-24,1.56e-13,8.97e-4,2.83e-13,5.23e-4,1.37e-11,6.55e-9,6.749999999999998e-35,4.78e-23,3.47e-12,0.005505662,9.35e-12,Control_sites,distal,Control
HNRNPA1_AATAAA_chr12_start_54285243_end_54285244,HNRNPA1,chr12,54285243,54285244,+,-0.053929047,0.020911378,-0.087373556,0.026479369,0.030476475,-0.003552301,0.007555903,0.08843344,0.231426938,0.231377563,0.231381881,0.093455599,0.102172798,0.104197832,0.103665593,0.252916061,0.177497891,0.252288941,0.144008325,0.119934968,0.132649273,0.100645532,0.111221496,0.341349501,1472,1472,1472,3952,3952,3952,3952,4712,1.96e-7,5.02e-6,4.05e-10,7.68e-5,4.98e-6,0.296934665,0.710722089,1.29e-11,1.24e-4,1,3.7e-8,1.25e-4,1.03e-4,NA,NA,1.97e-11,18.60202204,1.604495126,31.11195149,15.60329887,16.26595383,0.193370005,0.954856517,46.60561267,1,1,1,1,1,1,1,1,1.61e-5,0.205267347,2.44e-8,7.81e-5,5.5e-5,0.660126468,0.328486186,8.68e-12,6.05e-4,0.482246398,1.25e-7,2.76e-4,2.55e-4,0.769724014,0.52308131,2.29e-10,Control_sites,distal,Control
