gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_96hrs_1,DMSO_96hrs_2,DMSO_96hrs_3,SDMAi_96hrs_1,SDMAi_96hrs_2,SDMAi_96hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
NPM1_ENSG00000181163.14,PAS7939_AATAAA_0.4,3.55E-51,5.48E-55,NPM1_ENSG00000181163.14,248.7217702,1,4.93E-56,6.01E-52,NPM1_ENSG00000181163.14,0.201575013,0.201575013,0.201575013,0.457900669,0.457900669,0.457900669,0.256325656,chr5,171406724,171406725,3060,+,ENSG00000181163.14,NPM1,UTR3
NPM1_ENSG00000181163.14,PAS7940_AATAAA_0.2,3.55E-51,7.14E-51,NPM1_ENSG00000181163.14,229.8488958,1,6.43E-52,3.92E-48,NPM1_ENSG00000181163.14,0.772813902,0.772813902,0.772813902,0.522036699,0.522036699,0.522036699,-0.250777203,chr5,171410882,171410883,5978,+,ENSG00000181163.14,NPM1,UTR3
ATP5MJ_ENSG00000156411.10,PAS19233_AATAAA_0.15,1.81E-23,0,ATP5MJ_ENSG00000156411.10,115.0226862,1,7.78E-27,2.37E-23,ATP5MJ_ENSG00000156411.10,0.096726846,0.096726846,0.096726846,0.248540659,0.248540659,0.248540659,0.151813813,chr14,103912300,103912301,699,-,ENSG00000156411.10,ATP5MJ,UTR3
ATP5MJ_ENSG00000156411.10,PAS19234_AATAAA_0.15,1.81E-23,0,ATP5MJ_ENSG00000156411.10,115.0226862,1,7.78E-27,2.37E-23,ATP5MJ_ENSG00000156411.10,0.903273154,0.903273154,0.903273154,0.751459341,0.751459341,0.751459341,-0.151813813,chr14,103912516,103912517,4587,-,ENSG00000156411.10,ATP5MJ,UTR3
SSR3_ENSG00000114850.7,PAS6044_ATTAAA_0.4,1.49E-22,1.24E-24,SSR3_ENSG00000114850.7,113.2886346,1,1.87E-26,4.55E-23,SSR3_ENSG00000114850.7,0.440969687,0.440969687,0.440969687,0.267558371,0.267558371,0.267558371,-0.173411317,chr3,156543006,156543007,1739,-,ENSG00000114850.7,SSR3,UTR3
RPL15_ENSG00000174748.22,PAS4596_AATAAA_0.15,1.56E-19,0,RPL15_ENSG00000174748.22,95.69139202,1,1.34E-22,2.34E-19,RPL15_ENSG00000174748.22,0.896066177,0.896066177,0.896066177,0.783714129,0.783714129,0.783714129,-0.112352048,chr3,23919550,23919551,15497,+,ENSG00000174748.22,RPL15,UTR3
RPL15_ENSG00000174748.22,PAS4597_AATAAA_0.4,1.56E-19,0,RPL15_ENSG00000174748.22,95.69139202,1,1.34E-22,2.34E-19,RPL15_ENSG00000174748.22,0.103933823,0.103933823,0.103933823,0.216285871,0.216285871,0.216285871,0.112352048,chr3,23920838,23920839,4658,+,ENSG00000174748.22,RPL15,UTR3
MAP4_ENSG00000047849.22,PAS5563_AATAAA_0.1,2.90E-19,0,MAP4_ENSG00000047849.22,94.0234095,1,3.12E-22,4.22E-19,MAP4_ENSG00000047849.22,0.413754899,0.413754899,0.413754899,0.680828384,0.680828384,0.680828384,0.267073485,chr3,47850695,47850696,1194,-,ENSG00000047849.22,MAP4,UTR3
MAP4_ENSG00000047849.22,PAS5564_AATAAA_0.3,2.90E-19,0,MAP4_ENSG00000047849.22,94.0234095,1,3.12E-22,4.22E-19,MAP4_ENSG00000047849.22,0.586245101,0.586245101,0.586245101,0.319171616,0.319171616,0.319171616,-0.267073485,chr3,47851559,47851560,917,-,ENSG00000047849.22,MAP4,UTR3
JPT1_ENSG00000189159.16,PAS22577_APA_0.25,1.13E-18,0,JPT1_ENSG00000189159.16,90.97462095,1,1.46E-21,1.61E-18,JPT1_ENSG00000189159.16,0.250906269,0.250906269,0.250906269,0.490545751,0.490545751,0.490545751,0.239639482,chr17,75135250,75135251,1374,-,ENSG00000189159.16,JPT1,UTR3
JPT1_ENSG00000189159.16,PAS22578_ATTAAA_0.1,1.13E-18,0,JPT1_ENSG00000189159.16,90.97462095,1,1.46E-21,1.61E-18,JPT1_ENSG00000189159.16,0.749093731,0.749093731,0.749093731,0.509454249,0.509454249,0.509454249,-0.239639482,chr17,75135988,75135989,1395,-,ENSG00000189159.16,JPT1,UTR3
CSNK1E_ENSG00000213923.13,PAS26083_AATAAA_0,3.03E-17,3.80E-20,CSNK1E_ENSG00000213923.13,89.28229355,1,3.42E-21,3.48E-18,CSNK1E_ENSG00000213923.13,0.122285404,0.122285404,0.122285404,0.390907639,0.390907639,0.390907639,0.268622235,chr22,38296205,38296206,480,-,ENSG00000213923.13,CSNK1E,UTR3
