gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition
AARD,ENSG00000205002.4,PAS23324_AATAAA_0.35,0.7236220742164168,NA,0.7317574827900444,1,0.39231411243886144,0.7610705790124963,0.7401663105891781,0.8283007561713519,0.08813444558217376,chr8,116943997,116943998,+,0.784233533380265,distal pA,SDMAi
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.3115039576325811,NA,3.392608707836189,1,0.06548925845322899,0.3688753666354702,0.5517241387965435,0.6394803815730986,0.08775624277655514,chr11,106098692,106098693,+,0.595602260184821,distal pA,SDMAi
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.29882567663312415,NA,3.4967010809821204,1,0.061491204216924465,0.355003177146119,0.857537643923085,0.9536895275762717,0.09615188365318672,chr16,16143051,16143052,+,0.9056135857496783,distal pA,SDMAi
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.1864649341004095,NA,4.94187484480608,1,0.026213588102264117,0.22579590017774834,0.8709638677255217,0.7901462466770162,-0.08081762104850554,chr1,94518661,94518662,+,0.830555057201269,distal pA,SDMAi
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.6646901833007199,NA,0.5622682763041666,1,0.45334776063370713,0.8016391215729194,0.10946922337736098,0.12963504761923939,0.020165824241878405,chr4,145129520,145129521,+,0.11955213549830018,distal pA,SDMAi
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.8876559018438993,NA,0.15937361944997974,1,0.6897338658752478,0.9084044191044439,0.7784157204482985,0.7570132775783344,-0.021402442869964178,chr3,111993366,111993367,+,0.7677144990133165,distal pA,SDMAi
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.8603032093281116,NA,0.1751013419917058,1,0.675617315567463,0.903449868205665,0.5204349701812276,0.5673902040828734,0.0469552339016458,chr13,108230907,108230908,+,0.5439125871320505,distal pA,SDMAi
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.7377945455013388,NA,1.2470302037504553,1,0.26412045119888083,0.6642166673173032,0.5990407925408795,0.6620461954537804,0.06300540291290091,chr15,89202353,89202354,+,0.63054349399733,distal pA,SDMAi
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.20440473935538,NA,5.774287044309403,1,0.01626231586685522,0.17282879577941704,0.5580043094747011,0.3002349761104103,-0.25776933336429086,chr3,43719869,43719870,+,0.4291196427925557,distal pA,SDMAi
ABHD6,ENSG00000163686.15,PAS9737_AATAAA_0.25,0.8828870213853521,NA,0.17063200278201407,1,0.6795507365917,0.9046016782067731,0.6705365707446952,0.7195979507958753,0.049061380051180103,chr3,58294731,58294732,+,0.6950672607702852,distal pA,SDMAi
