gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.024562718704469157,0,6.817275552610454,1,0.009028019126490849,0.03209730623313755,0.5517023576877551,0.7054316846887673,0.15372932700101216,chr11,106098692,106098693,+,0.6285670211882612,distal pA,SDMAiADMAi
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.317286969271199,NA,1.5502354595367933,1,0.21310068403897972,0.3553698526193334,0.8576046546575112,0.9218684774050535,0.06426382274754228,chr16,16143051,16143052,+,0.8897365660312824,distal pA,SDMAiADMAi
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.18345374688490612,NA,2.6313179270364344,1,0.1047747115173925,0.21518836763393107,0.8697735685343448,0.924506098334762,0.05473252980041721,chr1,94518661,94518662,+,0.8971398334345535,distal pA,SDMAiADMAi
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,6.823770305533699e-4,0.20903299534565434,2.916573034774956,1,0.0876738832575592,0.1891101700537962,0.10964653977317851,0.15892830138625924,0.04928176161308073,chr4,145129520,145129521,+,0.13428742057971887,distal pA,SDMAiADMAi
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.010006149110398307,0,8.743033845726586,1,0.0031078701541568253,0.013425999065957487,0.7784225396286019,0.9082956157607763,0.12987307613217447,chr3,111993366,111993367,+,0.8433590776946891,distal pA,SDMAiADMAi
ABHD13,ENSG00000139826.6,PAS35734_AATAAA_0.25,0.46362321274015267,NA,0.00240114950440784,1,0.9609180802035889,0.9746929810072984,0.21389844629676724,0.20799449940369796,-0.0059039468930692784,chr13,108234253,108234254,+,0.2109464728502326,distal pA,SDMAiADMAi
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.1378477495004627,NA,5.4664862406448265,1,0.01938456093375307,0.05935406968822875,0.5998636745533122,0.7315631144594374,0.1316994399061252,chr15,89202353,89202354,+,0.6657133945063749,distal pA,SDMAiADMAi
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.4895614429624761,NA,1.7941856219350711,1,0.18041701726817383,0.31467549463178296,0.5505426464976965,0.3776840623699547,-0.17285858412774174,chr3,43719869,43719870,+,0.4641133544338256,distal pA,SDMAiADMAi
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,3.687996885993429e-8,0,35.3291627389317,1,2.7843155298228538e-9,5.900256936863851e-8,0.449549843538529,0.9262746695283747,0.47672482598984567,chr2,203432167,203432168,+,0.6879122565334519,distal pA,SDMAiADMAi
ABLIM3,ENSG00000173210.21,PAS15637_APA_0.15,0.1259829029430556,NA,3.387584949590746,1,0.0656890986206396,0.15131228853457712,0.7483182602428355,0.880358338691472,0.1320400784486364,chr5,149260435,149260436,+,0.8143382994671537,distal pA,SDMAiADMAi
