gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition,prox_to_dist_shift,log2FoldChange,padj,APA_and_gene_class
ABHD10,ENSG00000144827,PAS9979_ATTAAA_0.35,1.1648151579039847e-7,0,31.271138904352483,1,2.243907988170013e-8,1.8995470554439226e-7,0.2065129954255135,0.09146134411312028,-0.1150516513123932,chr3,111991968,111991969,+,0.1489871697693169,2,TUTR,proximal pA,DMAi_96hrs,0.23010330262478634,0.7071846714194278,5.630895096832631e-11,3' UTR lengthening + gene upregulated
ABLIM1,ENSG00000099204,PAS29144_ATTAAA_0.3,5.241057034035633e-4,0,13.978513577669789,1,1.849117524995256e-4,7.453257719403466e-4,0.3035325753639849,0.10262153593464853,-0.2009110394293364,chr10,114431774,114431775,-,0.20307705564931672,2,TUTR,proximal pA,DMAi_96hrs,0.4018220788586729,0.8319023195144506,8.95499329157717e-5,3' UTR lengthening + gene upregulated
ACP7,ENSG00000183760,PAS46790_None_0.15,0.19657919899289167,1,2.19703781057234,1,0.13827623209829054,0.2250818558154269,0.2838580673732405,0.155894248154597,-0.12796381921864347,chr19,39110836,39110837,+,0.21987615776391872,0,TUTR,proximal pA,DMAi_96hrs,0.2559276384372869,1.0979653392671609,5.428849508945136e-4,3' UTR lengthening + gene upregulated
AGAP2,ENSG00000135439,PAS34441_ATTAAA_0.1,0.002730080990209468,0,10.606033206439747,1,0.0011271925300488127,0.0037208365349626258,0.8089950277028176,0.5416373925904745,-0.2673576351123431,chr12,57725197,57725198,-,0.6753162101466461,2,TUTR,proximal pA,DMAi_96hrs,0.5347152702246863,0.8087017365699679,0.002600332460403345,3' UTR lengthening + gene upregulated
AK1,ENSG00000106992,PAS26549_APA_0.1,5.903460905786049e-11,4.0991248874514144e-12,49.12628188285635,1,2.400028749038112e-12,3.302847189209207e-11,0.7770707136028321,0.5192637270816514,-0.2578069865211807,chr9,127867839,127867840,-,0.6481672203422417,2,TUTR,proximal pA,DMAi_96hrs,0.5054046668282107,0.7570889043566782,1.1953125708967022e-9,3' UTR lengthening + gene upregulated
ALS2CL,ENSG00000178038,PAS11136_None_0.25,0.16124384000450315,1,3.199068332090974,1,0.07368023227856814,0.13434164969184165,0.3611112252622109,0.1929843507818697,-0.16812687448034114,chr3,46670599,46670600,-,0.2770477880220404,0,TUTR,proximal pA,DMAi_96hrs,0.37572768620715635,0.7544659297083182,0.04321235234480191,3' UTR lengthening + gene upregulated
ANKRD50,ENSG00000151458,PAS14244_AATAAA_0.35,0.01662638161184994,0.005096541204931948,8.817217281088233,1,0.002984013844013186,0.008790414367793249,0.5971563685557679,0.47103334680659775,-0.12612302174917017,chr4,124664488,124664489,-,0.5340948576811828,2,TUTR,proximal pA,DMAi_96hrs,0.2326220501685372,1.2199954281318568,2.390391793372096e-18,3' UTR lengthening + gene upregulated
ANXA4,ENSG00000196975,PAS5785_AATAAA_0.35,2.891424460045142e-5,0,19.949012223430145,1,7.953503429958228e-6,4.334577486999541e-5,0.6160810567980488,0.40587432474039015,-0.21020673205765864,chr2,69825776,69825777,+,0.5109776907692195,2,TUTR,proximal pA,DMAi_96hrs,0.4204134641153172,0.736572282242925,6.225289792299076e-7,3' UTR lengthening + gene upregulated
APOL2,ENSG00000128335,PAS51472_AATAAA_0.05,8.722203094792475e-12,0,50.76134812770931,1,1.0430773181542344e-12,1.4896682454683772e-11,0.9101961693036436,0.46469326547249984,-0.4455029038311438,chr22,36226623,36226624,-,0.6874447173880717,2,TUTR,proximal pA,DMAi_96hrs,0.8910058076622877,1.1946700063936626,1.3093300329071657e-5,3' UTR lengthening + gene upregulated
ARID4A,ENSG00000032219,PAS36711_AATAAA_0.4,0.2040792638596233,1,3.482846051454544,1,0.06200800810904618,0.11657975337750236,0.5797096573576245,0.4399999749357877,-0.1397096824218367,chr14,58372927,58372928,+,0.509854816146706,0,TUTR,proximal pA,DMAi_96hrs,0.27686934216518977,0.9217960715153009,4.08783743617966e-17,3' UTR lengthening + gene upregulated
ARRB1,ENSG00000137486,PAS31587_APA_0.25,5.7585102757811455e-8,7.202171218093186e-7,25.592452523443622,1,4.21685565907837e-7,2.9141812324553345e-6,0.48950892321509415,0.16160333928024784,-0.3279055839348463,chr11,75265722,75265723,-,0.325556131247671,2,TUTR,proximal pA,DMAi_96hrs,0.7440945622756117,0.8894627364748279,1.0514836917684626e-5,3' UTR lengthening + gene upregulated
ATAD2B,ENSG00000119778,PAS7388_AATAAA_0.2,0.017853052357803274,0,6.799668705505155,1,0.00911747889992741,0.02282954087603544,0.3382547848989394,0.11282986201682343,-0.225424922882116,chr2,23751802,23751803,-,0.22554232345788144,2,TUTR,proximal pA,DMAi_96hrs,0.4508498457642319,1.456534775954904,1.0292095879496128e-16,3' UTR lengthening + gene upregulated
ATG13,ENSG00000175224,PAS29808_AATAAA_0.25,0.004222592203683807,0,9.72857361953038,1,0.001814252277989688,0.0056727978788704,0.4248205253791708,0.30493968089084506,-0.1198808444883257,chr11,46673033,46673034,+,0.364880103135008,2,TUTR,proximal pA,DMAi_96hrs,0.2397616889766514,0.6193008468314118,1.0632182212712232e-5,3' UTR lengthening + gene upregulated
