gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition,prox_to_dist_shift,log2FoldChange,padj,APA_and_gene_class
ACSL3,ENSG00000123983,PAS7024_AATAAA_0.3,3.507025192285914e-4,0.1567061424545312,3.986158116686056,1,0.04587555360817175,0.0902787691265645,0.3280353281273003,0.26391404069802726,-0.06412128742927303,chr2,222942216,222942217,+,0.2959746844126638,0,TUTR,proximal pA,DMAi_96hrs,0.14286960385543412,-0.856737484665443,4.892759670729317e-16,no 3' UTR lengthening + gene downregulated
ACTR2,ENSG00000138071,PAS5749_APA_0.35,1.5721558220664565e-4,0.0012389581062186047,12.715158004910336,1,3.627036447317452e-4,0.0013652753216366069,0.06096965213008359,0.02643806245191525,-0.03453158967816834,chr2,65269907,65269908,+,0.04370385729099942,0,TUTR,proximal pA,DMAi_96hrs,0.09043453248412588,-0.7645170433289752,5.66091401834511e-26,no 3' UTR lengthening + gene downregulated
ADAM9,ENSG00000168615,PAS22817_AATAAA_0.1,0.9314544232389946,1,0.013819034675179864,1,0.9064207455581486,0.9371658763156874,0.9649815292395052,0.9663350657526408,0.0013535365131358557,chr8,39105000,39105001,+,0.965658297496073,0,TUTR,proximal pA,DMAi_96hrs,-0.0027070730262717113,-1.1493648716858276,1.7108215125986713e-24,no 3' UTR lengthening + gene downregulated
ADAT1,ENSG00000065457,PAS41911_APA_0.35,0.6423800100163878,1,0.3229406483020512,1,0.5698457592461391,0.6777801454904087,0.12703597197990235,0.16262844110525665,0.0355924691253543,chr16,75599253,75599254,-,0.1448322065425795,0,TUTR,proximal pA,DMAi_96hrs,-0.07118493825070848,-0.7230238250687289,0.0027090713534288955,no 3' UTR lengthening + gene downregulated
ADGRL1,ENSG00000072071,PAS47828_None_0.05,0.6544994600952624,1,0.30109948299252665,1,0.5831939633604971,0.6885512848210582,0.13278421519765493,0.10347351615793864,-0.02931069903971628,chr19,14149533,14149534,-,0.1181288656777968,0,TUTR,proximal pA,DMAi_96hrs,0.05862139807943256,-1.0614480331754423,6.812961207738677e-24,no 3' UTR lengthening + gene downregulated
ADI1,ENSG00000182551,PAS7293_AATAAA_0.2,1.742074827744278e-20,0.0010053934155169605,13.106150679413986,1,2.9432783430447814e-4,0.0011370032441229427,0.5972672455715363,0.5292365427412268,-0.06803070283030954,chr2,3498453,3498454,-,0.5632518941563815,1,TUTR,proximal pA,DMAi_96hrs,0.1685172447411539,-0.7151659663863879,2.513419632241977e-20,no 3' UTR lengthening + gene downregulated
AFAP1,ENSG00000196526,PAS13611_None_0.25,0.29581855330862433,1,1.8329502568917635,1,0.1757794729673518,0.2733066193650396,0.3192788222524441,0.2577942123226276,-0.061484609929816525,chr4,7763107,7763108,-,0.2885365172875358,0,TUTR,proximal pA,DMAi_96hrs,0.11747220912567063,-0.7515716497066016,5.058546124448218e-7,no 3' UTR lengthening + gene downregulated
AGAP1,ENSG00000157985,PAS7151_AATAAA_0.3,0.6007020816203646,1,1.2665134612861948,1,0.2604217726058125,0.3717201303930351,0.346582582849618,0.2837260354085464,-0.06285654744107161,chr2,236125246,236125247,+,0.3151543091290822,0,TUTR,proximal pA,DMAi_96hrs,0.1268378262525836,-1.1064583106071442,4.557208105919814e-8,no 3' UTR lengthening + gene downregulated
AGPAT5,ENSG00000155189,PAS22525_AATAAA_0.2,0.001568551712650092,1,0.12724462151527405,1,0.7213061926296396,0.8007734110556664,0.6223404257651574,0.6435643554368262,0.021223929671668865,chr8,6759662,6759663,+,0.6329523906009917,1,TUTR,proximal pA,DMAi_96hrs,0.11696889674742861,-0.7416987865385171,7.144231958495683e-5,no 3' UTR lengthening + gene downregulated
AHCY,ENSG00000101444,PAS49672_None_0.15,0.8082642048725311,1,0.09448618661554065,1,0.7585495414775937,0.8300506627303567,0.01308189364805168,0.014784988506489904,0.0017030948584382255,chr20,34280955,34280956,-,0.013933441077270792,0,TUTR,proximal pA,DMAi_96hrs,-0.003406189716876562,-0.7631628247923972,1.1865070758279563e-24,no 3' UTR lengthening + gene downregulated
AMDHD2,ENSG00000162066,PAS40122_APA_0.05,0.5322559928843008,1,0.567326815813658,1,0.45132312816542175,0.5697958977977536,0.21745708153439183,0.1827627631037566,-0.034694318430635224,chr16,2529729,2529730,+,0.2001099223190742,0,TUTR,proximal pA,DMAi_96hrs,0.06938863686127042,-1.4586453442894254,5.865846597659004e-14,no 3' UTR lengthening + gene downregulated
ANAPC16,ENSG00000166295,PAS27368_APA_0.2,0.02340492525603421,0.5487301542603028,0.9837273303410256,1,0.32128031759180065,0.4389034601011085,0.4843426674298616,0.5160797428482033,0.031737075418341754,chr10,72233293,72233294,+,0.5002112051390325,0,TUTR,proximal pA,DMAi_96hrs,-0.09980302009734232,-0.6911177032487092,1.4519637544880162e-15,no 3' UTR lengthening + gene downregulated
ANKRD33B,ENSG00000164236,PAS14608_None_0.2,0.5057486420276003,1,0.635153976498259,1,0.4254710798009971,0.5445604624693452,0.5333091655774728,0.5034663153883359,-0.029842850189136905,chr5,10656953,10656954,+,0.5183877404829043,0,TUTR,proximal pA,DMAi_96hrs,0.059685700378273865,-0.8692040804838873,1.9514504729699784e-10,no 3' UTR lengthening + gene downregulated
APPL2,ENSG00000136044,PAS34810_AATAAA_0.35,0.2677123514646449,1,1.6447600141309522,1,0.19967362433374936,0.3021742736844172,0.2123359039851433,0.14899267444519426,-0.06334322953994909,chr12,105173694,105173695,-,0.1806642892151688,0,TUTR,proximal pA,DMAi_96hrs,0.12668645907989828,-0.7371079975193962,0.001001156998311268,no 3' UTR lengthening + gene downregulated
ARF3,ENSG00000134287,PAS34183_APA_0.05,6.878331851061952e-4,0.003190785114784563,10.953838856890798,1,9.340988891225372e-4,0.003160968348211168,0.2863244188688845,0.2200557103045805,-0.066268708564304,chr12,48938691,48938692,-,0.2531900645867325,0,TUTR,proximal pA,DMAi_96hrs,0.12986564267433331,-1.0409381719460145,2.400232420051652e-45,no 3' UTR lengthening + gene downregulated
ARL4D,ENSG00000175906,PAS42862_None_0.15,0.1715179076655939,1,2.437263083299513,1,0.11848279058588795,0.1984972666875744,0.42513652304730537,0.3331596079564815,-0.0919769150908239,chr17,43400600,43400601,+,0.3791480655018934,0,TUTR,proximal pA,DMAi_96hrs,0.18395383018164785,-0.5864142494973931,0.011850477333624284,no 3' UTR lengthening + gene downregulated
ARL5A,ENSG00000162980,PAS8417_None_0.25,0.6007020816203646,1,0.0620168901850775,1,0.803336101321637,0.8641141035687427,0.6782751761238033,0.6903491099858673,0.012073933862064012,chr2,151802589,151802590,-,0.6843121430548353,0,TUTR,proximal pA,DMAi_96hrs,0.008140570490309834,-0.6106636125811888,1.0542818950077798e-5,no 3' UTR lengthening + gene downregulated
ARL6IP1,ENSG00000170540,PAS41363_ATTAAA_0.3,3.535678946090327e-5,3.724331349098922e-6,22.428980576161848,1,2.1805879435741527e-6,1.3273253021042974e-5,0.37115289871122464,0.2882285927089576,-0.08292430600226708,chr16,18791906,18791907,-,0.3296907457100912,0,TUTR,proximal pA,DMAi_96hrs,0.14894848759066115,-1.108055699908463,4.158270590472305e-55,no 3' UTR lengthening + gene downregulated
ARPIN,ENSG00000242498,PAS39926_APA_0.3,0.9318838921633028,1,0.2203817256072398,1,0.6387492164362292,0.7358352700526556,0.1402749036629839,0.12092897787461514,-0.01934592578836876,chr15,89901631,89901632,-,0.13060194076879952,0,TUTR,proximal pA,DMAi_96hrs,0.011527238999201675,-2.1280196958302597,4.0411996137417356e-33,no 3' UTR lengthening + gene downregulated
ASCC1,ENSG00000138303,PAS28693_ATTAAA_0.2,0.27815402954991025,1,1.579614638091016,1,0.20881621049544127,0.3130363077375085,0.2991226297504387,0.2191047316830665,-0.08001789806737214,chr10,72096903,72096904,-,0.2591136807167526,0,TUTR,proximal pA,DMAi_96hrs,0.1600357961347444,-0.9771272154838618,8.194095033049526e-6,no 3' UTR lengthening + gene downregulated
