gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,pvalue,adj_pvalue,ctrl_1,ctrl_2,ctrl_3,ctrl_4,treatment_1,treatment_2,treatment_3,treatment_4,change_in_usage,chr,start,end,strand,ENSG_name,gene_name,mean_usage,pA_type
AASDHPPT_ENSG00000149313.11,PAS32563_AATAAA_0.3,0.042808232,0,0.016763265,0.055550804,0.6526844560676797,0.6526844560676797,0.6526844560676797,0.6526844560676797,0.7608738201523297,0.7608738201523297,0.7608738201523297,0.7608738201523297,0.10818936408465007,chr11,106098692,106098693,+,ENSG00000149313.11,AASDHPPT,0.7067791381100047,distal pA
ABCB8_ENSG00000197150.13,PAS22500_None_0.25,0.075515315,NA,0.033242891,0.09454099,0.6449617676903819,0.6449617676903819,0.6449617676903819,0.6449617676903819,0.4010739664691122,0.4010739664691122,0.4010739664691122,0.4010739664691122,-0.243887801,chr7,151045561,151045562,+,ENSG00000197150.13,ABCB8,0.5230178670797471,distal pA
ABCC1_ENSG00000103222.20,PAS43100_APA_0.2,0.5554609205588629,NA,0.43256958089219666,0.6020194498693413,0.887368646,0.887368646,0.887368646,0.887368646,0.904416018,0.904416018,0.904416018,0.904416018,0.017047371906120934,chr16,16143051,16143052,+,ENSG00000103222.20,ABCC1,0.8958923315676375,distal pA
ABCC2_ENSG00000023839.12,PAS29548_APA_0.35,0.003590907,9.246141451766924e-4,3.7420794019151063e-4,0.002422162,0.9361374383058604,0.9361374383058604,0.9361374383058604,0.9361374383058604,0.9710307772456592,0.9710307772456592,0.9710307772456592,0.9710307772456592,0.034893338939798846,chr10,99852571,99852572,+,ENSG00000023839.12,ABCC2,0.9535841077757599,distal pA
ABCC3_ENSG00000108846.16,PAS46064_AATAAA_0.3,4.506781061765792e-8,8.900422270208123e-9,3.6021606439221793e-9,8.312821238577114e-8,0.41121032949183145,0.41121032949183145,0.41121032949183145,0.41121032949183145,0.8944427588279308,0.8944427588279308,0.8944427588279308,0.8944427588279308,0.48323242933609933,chr17,50691700,50691701,+,ENSG00000108846.16,ABCC3,0.6528265441598811,distal pA
ABCD1_ENSG00000101986.12,PAS56230_APA_0.1,0.086053552,NA,0.039205115738149665,0.10674313997143486,0.8642846825624905,0.8642846825624905,0.8642846825624905,0.8642846825624905,0.9557650853928136,0.9557650853928136,0.9557650853928136,0.9557650853928136,0.091480403,chrX,153744753,153744754,+,ENSG00000101986.12,ABCD1,0.910024884,distal pA
ABCD3_ENSG00000117528.14,PAS1253_AATAAA_0.15,0.015029854477638906,0.011666818,0.004721771,0.020139416,0.9640348985228304,0.9640348985228304,0.9640348985228304,0.9640348985228304,0.9903456412561564,0.9903456412561564,0.9903456412561564,0.9903456412561564,0.026310743,chr1,94518661,94518662,+,ENSG00000117528.14,ABCD3,0.9771902698894934,distal pA
ABCF1_ENSG00000204574.14,PAS18646_ATTAAA_0.3,0.27965118118263893,NA,0.17160371800296212,0.32101627395017074,0.006373697,0.006373697,0.006373697,0.006373697,0.012779938298482674,0.012779938298482674,0.012779938298482674,0.012779938298482674,0.006406242,chr6,30592257,30592258,+,ENSG00000204574.14,ABCF1,0.009576817,distal pA
ABCF3_ENSG00000161204.12,PAS11226_None_0.1,0.006931489,0,0.001902427,0.009573436,0.080148202,0.080148202,0.080148202,0.080148202,0.1826916879690521,0.1826916879690521,0.1826916879690521,0.1826916879690521,0.10254348624433653,chr3,184194450,184194451,+,ENSG00000161204.12,ABCF3,0.13141994484688385,distal pA
ABHD10_ENSG00000144827.9,PAS10609_AATAAA_0.2,7.782078286095469e-5,0,1.1254082444518027e-5,1.1772085771987668e-4,0.7067558213104291,0.7067558213104291,0.7067558213104291,0.7067558213104291,0.8319741252447326,0.8319741252447326,0.8319741252447326,0.8319741252447326,0.12521830393430344,chr3,111993366,111993367,+,ENSG00000144827.9,ABHD10,0.7693649732775809,distal pA
ABHD13_ENSG00000139826.6,PAS38171_AATAAA_0.35,0.5252937200951412,NA,0.15097320543273582,0.29238949130022707,0.5445303205549021,0.5445303205549021,0.5445303205549021,0.5445303205549021,0.6735603007562404,0.6735603007562404,0.6735603007562404,0.6735603007562404,0.12902998020133827,chr13,108230907,108230908,+,ENSG00000139826.6,ABHD13,0.6090453106555713,distal pA
